longname,Poverty %,LICO-AT %,Household Income < $50k %,Household Income $50k - $100k %,Household Income > $100k %,Household income < C$50k %,Household income C$50k - C$100k %,Household income > C$100k %,Individual Income < $50k %,Individual Income $50k - $100k %,Individual Income > $100k %,Individual income < C$50k %,Individual income C$50k - C$100k %,Individual income > C$100k %
"Lomami, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Pichincha, Ecuador",,,,,,,,,,,,,,
"Wales, United Kingdom",,,,,,,,,,,,,,
"Distrito Federal, Brazil",,,,,,,,,,,,,,
"Sulawesi Tengah, Indonesia",,,,,,,,,,,,,,
"Dnipropetrovska oblast, Ukraine",,,,,,,,,,,,,,
"Sonora, Mexico",,,,,,,,,,,,,,
"Māzandarān, Iran",,,,,,,,,,,,,,
"Herāt, Afghanistan",,,,,,,,,,,,,,
"Abū Z̧aby, United Arab Emirates",,,,,,,,,,,,,,
"Eastern, Ghana",,,,,,,,,,,,,,
"La Paz, Bolivia",,,,,,,,,,,,,,
"Sud, Rwanda",,,,,,,,,,,,,,
"Nevada, USA",0.1288257432808762,,0.37870068093929954,0.31807729221543646,0.30322202684526395,,,,0.6756545184885162,0.22633927148431357,0.0980062100271701,,,
"Batangas, Philippines",,,,,,,,,,,,,,
"Dubayy, United Arab Emirates",,,,,,,,,,,,,,
"Şalāḩ ad Dīn, Iraq",,,,,,,,,,,,,,
"Cundinamarca, Colombia",,,,,,,,,,,,,,
"Andijon, Uzbekistan",,,,,,,,,,,,,,
"Nizhegorodskaya oblast', Russia",,,,,,,,,,,,,,
"Rizal, Philippines",,,,,,,,,,,,,,
"Arkansas, USA",0.16010840765245474,,0.48231921308579145,0.29923054150752665,0.21845024540668193,,,,0.7377387951564874,0.194913736394179,0.06734746844933354,,,
"Lilongwe, Malawi",,,,,,,,,,,,,,
"Shamāl Kurdufān, Sudan",,,,,,,,,,,,,,
"Coahuila de Zaragoza, Mexico",,,,,,,,,,,,,,
"Gombe, Nigeria",,,,,,,,,,,,,,
"Lualaba, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Souss-Massa, Morocco",,,,,,,,,,,,,,
"Nghệ An, Vietnam",,,,,,,,,,,,,,
"Wakiso, Uganda",,,,,,,,,,,,,,
"Mississippi, USA",0.19384072479673764,,0.5069434664029271,0.28764547149903325,0.20541106209803955,,,,0.7520569899912013,0.18774537017654463,0.0601976398322541,,,
"Sinaloa, Mexico",,,,,,,,,,,,,,
"Morogoro, Tanzania",,,,,,,,,,,,,,
"Koulikoro, Mali",,,,,,,,,,,,,,
"Kansas, USA",0.11478190284357992,,0.38607644914885786,0.32105097838273267,0.2928725724684095,,,,0.6688647261828504,0.23926544824396082,0.09186982557318879,,,
"Schleswig-Holstein, Germany",,,,,,,,,,,,,,
"Stavropol'skiy kray, Russia",,,,,,,,,,,,,,
"Kyiv, Ukraine",,,,,,,,,,,,,,
"Kigoma, Tanzania",,,,,,,,,,,,,,
"Dolnośląskie, Poland",,,,,,,,,,,,,,
"Montagnes, Ivory Coast",,,,,,,,,,,,,,
"San Luis Potosí, Mexico",,,,,,,,,,,,,,
"Noord-Holland, Netherlands",,,,,,,,,,,,,,
"Kayes, Mali",,,,,,,,,,,,,,
"Rīf Dimashq, Syria",,,,,,,,,,,,,,
"Mato Grosso do Sul, Brazil",,,,,,,,,,,,,,
"Pampanga, Philippines",,,,,,,,,,,,,,
"Tshopo, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Incheon-gwangyeoksi, South Korea",,,,,,,,,,,,,,
"Ibaraki, Japan",,,,,,,,,,,,,,
"Bourgogne-Franche-Comté, France",,,,,,,,,,,,,,
"P’yŏngan-bukto [Phyeonganpukto], North Korea",,,,,,,,,,,,,,
"Namangan, Uzbekistan",,,,,,,,,,,,,,
"Iloilo, Philippines",,,,,,,,,,,,,,
"Mopti, Mali",,,,,,,,,,,,,,
"Abuja Federal Capital Territory, Nigeria",,,,,,,,,,,,,,
"Novosibirskaya oblast', Russia",,,,,,,,,,,,,,
"Leinster, Ireland",,,,,,,,,,,,,,
"Free State, South Africa",,,,,,,,,,,,,,
"North, Cameroon",,,,,,,,,,,,,,
"Ouest, Rwanda",,,,,,,,,,,,,,
"Tabasco, Mexico",,,,,,,,,,,,,,
"Hirosima, Japan",,,,,,,,,,,,,,
"Central, Ghana",,,,,,,,,,,,,,
"Kankan, Guinea",,,,,,,,,,,,,,
"Almaty oblysy, Kazakhstan",,,,,,,,,,,,,,
"Geita, Tanzania",,,,,,,,,,,,,,
"Tanga, Tanzania",,,,,,,,,,,,,,
"Sarawak, Malaysia",,,,,,,,,,,,,,
"Sassandra-Marahoué, Ivory Coast",,,,,,,,,,,,,,
"Béni Mellal-Khénifra, Morocco",,,,,,,,,,,,,,
"Bas-Sassandra, Ivory Coast",,,,,,,,,,,,,,
"Sulawesi Tenggara, Indonesia",,,,,,,,,,,,,,
"Western Australia, Australia",,,,,,,,,,,,,,
"Al Baḩr al Aḩmar, Sudan",,,,,,,,,,,,,,
"Sughd, Tajikistan",,,,,,,,,,,,,,
"Nasarawa, Nigeria",,,,,,,,,,,,,,
"Dosso, Niger",,,,,,,,,,,,,,
"Krasnoyarskiy kray, Russia",,,,,,,,,,,,,,
"Madhyama paḷāta, Sri Lanka",,,,,,,,,,,,,,
"Gyeongsangbuk-do, South Korea",,,,,,,,,,,,,,
"Copperbelt, Zambia",,,,,,,,,,,,,,
"Kharkivska oblast, Ukraine",,,,,,,,,,,,,,
"Davao del Sur, Philippines",,,,,,,,,,,,,,
"Atlántico, Colombia",,,,,,,,,,,,,,
"Kemerovskaya oblast', Russia",,,,,,,,,,,,,,
"Dakuṇu paḷāta, Sri Lanka",,,,,,,,,,,,,,
"Hwanghae-namdo [Hwanghainamto], North Korea",,,,,,,,,,,,,,
"Bayelsa, Nigeria",,,,,,,,,,,,,,
"Kalimantan Tengah, Indonesia",,,,,,,,,,,,,,
"Arbīl, Iraq",,,,,,,,,,,,,,
"Dodoma, Tanzania",,,,,,,,,,,,,,
"An Nīl al Abyaḑ, Sudan",,,,,,,,,,,,,,
"Sulawesi Utara, Indonesia",,,,,,,,,,,,,,
"Sīstān va Balūchestān, Iran",,,,,,,,,,,,,,
"Perak, Malaysia",,,,,,,,,,,,,,
"Vayamba paḷāta, Sri Lanka",,,,,,,,,,,,,,
"Antalya, Turkey",,,,,,,,,,,,,,
"Sizuoka, Japan",,,,,,,,,,,,,,
"Hauts-Bassins, Burkina Faso",,,,,,,,,,,,,,
"Maputo (City), Mozambique",,,,,,,,,,,,,,
"Noord-Brabant, Netherlands",,,,,,,,,,,,,,
"Centre-Val de Loire, France",,,,,,,,,,,,,,
"Surxondaryo, Uzbekistan",,,,,,,,,,,,,,
"Permskiy kray, Russia",,,,,,,,,,,,,,
"Volgogradskaya oblast', Russia",,,,,,,,,,,,,,
"Brandenburg, Germany",,,,,,,,,,,,,,
"HaMerkaz, Israel",,,,,,,,,,,,,,
"Samut Prakan, Thailand",,,,,,,,,,,,,,
"Bābil, Iraq",,,,,,,,,,,,,,
"Miyagi, Japan",,,,,,,,,,,,,,
"L'Oriental, Morocco",,,,,,,,,,,,,,
"Miranda, Venezuela",,,,,,,,,,,,,,
"Lvivska oblast, Ukraine",,,,,,,,,,,,,,
"Stockholms län, Sweden",,,,,,,,,,,,,,
"Galicia, Spain",,,,,,,,,,,,,,
"Kyôto, Japan",,,,,,,,,,,,,,
"Saratovskaya oblast', Russia",,,,,,,,,,,,,,
"Quezon, Philippines",,,,,,,,,,,,,,
"Kepulauan Riau, Indonesia",,,,,,,,,,,,,,
"Nueva Ecija, Philippines",,,,,,,,,,,,,,
"Łódzkie, Poland",,,,,,,,,,,,,,
"Benguela, Angola",,,,,,,,,,,,,,
"Al Madīnah al Munawwarah, Saudi Arabia",,,,,,,,,,,,,,
"Bolívar, Colombia",,,,,,,,,,,,,,
"Mandera, Kenya",,,,,,,,,,,,,,
"Sergipe, Brazil",,,,,,,,,,,,,,
"Sofala, Mozambique",,,,,,,,,,,,,,
"Ciudad Autónoma de Buenos Aires, Argentina",,,,,,,,,,,,,,
"Camarines Sur, Philippines",,,,,,,,,,,,,,
"Nakuru, Kenya",,,,,,,,,,,,,,
"Al Anbār, Iraq",,,,,,,,,,,,,,
"Irkutskaya oblast', Russia",,,,,,,,,,,,,,
"Manica, Mozambique",,,,,,,,,,,,,,
"Daegu-gwangyeoksi, South Korea",,,,,,,,,,,,,,
"Voronezhskaya oblast', Russia",,,,,,,,,,,,,,
"Lisboa, Portugal",,,,,,,,,,,,,,
"Dhī Qār, Iraq",,,,,,,,,,,,,,
"Hamgyŏng-bukto [Hamkyeongpukto], North Korea",,,,,,,,,,,,,,
"Ḩajjah, Yemen",,,,,,,,,,,,,,
"Wilayah Persekutuan Kuala Lumpur, Malaysia",,,,,,,,,,,,,,
"Đắk Lắk, Vietnam",,,,,,,,,,,,,,
"Pomorskie, Poland",,,,,,,,,,,,,,
"Odeska oblast, Ukraine",,,,,,,,,,,,,,
"Mara, Tanzania",,,,,,,,,,,,,,
"Nakhon Ratchasima, Thailand",,,,,,,,,,,,,,
"Sud-Ubangi, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Arusha, Tanzania",,,,,,,,,,,,,,
"Sharq Dārfūr, Sudan",,,,,,,,,,,,,,
"Maniema, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Konya, Turkey",,,,,,,,,,,,,,
"Alger, Algeria",,,,,,,,,,,,,,
"Western, Ghana",,,,,,,,,,,,,,
"Dahūk, Iraq",,,,,,,,,,,,,,
"Southern, Zambia",,,,,,,,,,,,,,
"Nangarhār, Afghanistan",,,,,,,,,,,,,,
"Niigata, Japan",,,,,,,,,,,,,,
"Castilla y León, Spain",,,,,,,,,,,,,,
"Santander, Colombia",,,,,,,,,,,,,,
"Altayskiy kray, Russia",,,,,,,,,,,,,,
"Nord, Rwanda",,,,,,,,,,,,,,
"Eastern, Zambia",,,,,,,,,,,,,,
"Islamabad, Pakistan",,,,,,,,,,,,,,
"Carabobo, Venezuela",,,,,,,,,,,,,,
"Hwanghae-bukto [Hwanghaipukto], North Korea",,,,,,,,,,,,,,
"Gaziantep, Turkey",,,,,,,,,,,,,,
"Sachsen-Anhalt, Germany",,,,,,,,,,,,,,
"Thiès, Senegal",,,,,,,,,,,,,,
"Alborz, Iran",,,,,,,,,,,,,,
"Northern, Ghana",,,,,,,,,,,,,,
"Hamadān, Iran",,,,,,,,,,,,,,
"Cần Thơ, Vietnam",,,,,,,,,,,,,,
"An Giang, Vietnam",,,,,,,,,,,,,,
"Cabo Delgado, Mozambique",,,,,,,,,,,,,,
"Kilimanjaro, Tanzania",,,,,,,,,,,,,,
"Querétaro, Mexico",,,,,,,,,,,,,,
"Yucatán, Mexico",,,,,,,,,,,,,,
"Chungcheongnam-do, South Korea",,,,,,,,,,,,,,
"Manicaland, Zimbabwe",,,,,,,,,,,,,,
"Gīlān, Iran",,,,,,,,,,,,,,
"Podkarpackie, Poland",,,,,,,,,,,,,,
"Leningradskaya oblast', Russia",,,,,,,,,,,,,,
"Türkistan oblysy, Kazakhstan",,,,,,,,,,,,,,
"Chiang Mai, Thailand",,,,,,,,,,,,,,
"Kedah, Malaysia",,,,,,,,,,,,,,
"Federacija Bosne i Hercegovine, Bosnia and Herzegovina",,,,,,,,,,,,,,
"Canarias, Spain",,,,,,,,,,,,,,
"Lubelskie, Poland",,,,,,,,,,,,,,
"As Sulaymānīyah, Iraq",,,,,,,,,,,,,,
"Gelderland, Netherlands",,,,,,,,,,,,,,
"Niassa, Mozambique",,,,,,,,,,,,,,
"New Mexico, USA",0.18325224170785975,,0.4678709522114065,0.2929515694662413,0.23917747832235214,,,,0.7167952334647084,0.2005497733902786,0.082654993145013,,,
"Şanlıurfa, Turkey",,,,,,,,,,,,,,
"Mbeya, Tanzania",,,,,,,,,,,,,,
"Artibonite, Haiti",,,,,,,,,,,,,,
"Dhamār, Yemen",,,,,,,,,,,,,,
"Gandaki, Nepal",,,,,,,,,,,,,,
"Kujawsko-pomorskie, Poland",,,,,,,,,,,,,,
"Cochabamba, Bolivia",,,,,,,,,,,,,,
"Luhanska oblast, Ukraine",,,,,,,,,,,,,,
"Nagano, Japan",,,,,,,,,,,,,,
"Leyte, Philippines",,,,,,,,,,,,,,
"Francisco Morazán, Honduras",,,,,,,,,,,,,,
"Cuanza-Sul, Angola",,,,,,,,,,,,,,
"Thüringen, Germany",,,,,,,,,,,,,,
"La Habana, Cuba",,,,,,,,,,,,,,
"Huambo, Angola",,,,,,,,,,,,,,
"Tipaza, Algeria",,,,,,,,,,,,,,
"Āsīr, Saudi Arabia",,,,,,,,,,,,,,
"Sabaragamuva paḷāta, Sri Lanka",,,,,,,,,,,,,,
"País Vasco, Spain",,,,,,,,,,,,,,
"Gihu, Japan",,,,,,,,,,,,,,
"Kakamega, Kenya",,,,,,,,,,,,,,
"Castilla-La Mancha, Spain",,,,,,,,,,,,,,
"Mendoza, Argentina",,,,,,,,,,,,,,
"Harare, Zimbabwe",,,,,,,,,,,,,,
"Āfar, Ethiopia",,,,,,,,,,,,,,
"Mashonaland West, Zimbabwe",,,,,,,,,,,,,,
"Mont-Liban, Lebanon",,,,,,,,,,,,,,
"Horad Minsk, Belarus",,,,,,,,,,,,,,
"Kachin, Myanmar",,,,,,,,,,,,,,
"Distrito Federal, Venezuela",,,,,,,,,,,,,,
"Kassalā, Sudan",,,,,,,,,,,,,,
"Morelos, Mexico",,,,,,,,,,,,,,
"Cortés, Honduras",,,,,,,,,,,,,,
"Shinyanga, Tanzania",,,,,,,,,,,,,,
"Maluku, Indonesia",,,,,,,,,,,,,,
"Savanes, Ivory Coast",,,,,,,,,,,,,,
"Nāgāland, India",,,,,,,,,,,,,,
"Mon, Myanmar",,,,,,,,,,,,,,
"La Libertad, Peru",,,,,,,,,,,,,,
"West, Cameroon",,,,,,,,,,,,,,
"Midlands, Zimbabwe",,,,,,,,,,,,,,
"Est, Burkina Faso",,,,,,,,,,,,,,
"Nebraska, USA",0.10289726435575962,,0.3700212418322127,0.32882199761892866,0.3011567605488588,,,,0.6579071011724923,0.25382802838909424,0.08826487043841354,,,
"Durango, Mexico",,,,,,,,,,,,,,
"Hatay, Turkey",,,,,,,,,,,,,,
"Hukusima, Japan",,,,,,,,,,,,,,
"Piura, Peru",,,,,,,,,,,,,,
"Simiyu, Tanzania",,,,,,,,,,,,,,
"Wien, Austria",,,,,,,,,,,,,,
"Az Zarqā’, Jordan",,,,,,,,,,,,,,
"North-West, Cameroon",,,,,,,,,,,,,,
"Buxoro, Uzbekistan",,,,,,,,,,,,,,
"Vojvodina, Serbia",,,,,,,,,,,,,,
"Kiambu, Kenya",,,,,,,,,,,,,,
"Shabeellaha Hoose, Somalia",,,,,,,,,,,,,,
"Northern Ireland, United Kingdom",,,,,,,,,,,,,,
"Orenburgskaya oblast', Russia",,,,,,,,,,,,,,
"Rakhine, Myanmar",,,,,,,,,,,,,,
"Boucle du Mouhoun, Burkina Faso",,,,,,,,,,,,,,
"Équateur, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Phnom Penh [Phnum Pénh], Cambodia",,,,,,,,,,,,,,
"Primorskiy kray, Russia",,,,,,,,,,,,,,
"Avtonomna Respublika Krym, Ukraine",,,,,,,,,,,,,,
"Dimashq, Syria",,,,,,,,,,,,,,
"Okayama, Japan",,,,,,,,,,,,,,
"Woqooyi Galbeed, Somalia",,,,,,,,,,,,,,
"Misamis Oriental, Philippines",,,,,,,,,,,,,,
"Totigi, Japan",,,,,,,,,,,,,,
"South-West, Cameroon",,,,,,,,,,,,,,
"Beograd, Serbia",,,,,,,,,,,,,,
"Bengkulu, Indonesia",,,,,,,,,,,,,,
"Singida, Tanzania",,,,,,,,,,,,,,
"Gôh-Djiboua, Ivory Coast",,,,,,,,,,,,,,
"Hải Phòng, Vietnam",,,,,,,,,,,,,,
"Volta, Ghana",,,,,,,,,,,,,,
"Vakinankaratra, Madagascar",,,,,,,,,,,,,,
"Diyālá, Iraq",,,,,,,,,,,,,,
"Western Area, Sierra Leone",,,,,,,,,,,,,,
"Isabela, Philippines",,,,,,,,,,,,,,
"Hovedstaden, Denmark",,,,,,,,,,,,,,
"Gunma, Japan",,,,,,,,,,,,,,
"Gharb Kurdufān, Sudan",,,,,,,,,,,,,,
"Omskaya oblast', Russia",,,,,,,,,,,,,,
"Masvingo, Zimbabwe",,,,,,,,,,,,,,
"Chernihivska oblast, Ukraine",,,,,,,,,,,,,,
"Bucureşti, Romania",,,,,,,,,,,,,,
"Manyara, Tanzania",,,,,,,,,,,,,,
"Nzérékoré, Guinea",,,,,,,,,,,,,,
"Lorestān, Iran",,,,,,,,,,,,,,
"Sinnār, Sudan",,,,,,,,,,,,,,
"Tiền Giang, Vietnam",,,,,,,,,,,,,,
"Vatovavy-Fitovinany, Madagascar",,,,,,,,,,,,,,
"Thái Bình, Vietnam",,,,,,,,,,,,,,
"Córdoba, Colombia",,,,,,,,,,,,,,
"Long An, Vietnam",,,,,,,,,,,,,,
"Oran, Algeria",,,,,,,,,,,,,,
"Kiến Giang, Vietnam",,,,,,,,,,,,,,
"Irbid, Jordan",,,,,,,,,,,,,,
"Mersin, Turkey",,,,,,,,,,,,,,
"Kocaeli, Turkey",,,,,,,,,,,,,,
"Kentrikí Makedonía, Greece",,,,,,,,,,,,,,
"Valparaíso, Chile",,,,,,,,,,,,,,
"Xorazm, Uzbekistan",,,,,,,,,,,,,,
"Diourbel, Senegal",,,,,,,,,,,,,,
"Al Qādisīyah, Iraq",,,,,,,,,,,,,,
"Idaho, USA",0.11374184038744728,,0.3839120622248293,0.34140261542746264,0.27468532234770815,,,,0.7099714001696709,0.2087920782151727,0.08123652161515645,,,
"Nam Ðịnh, Vietnam",,,,,,,,,,,,,,
"Pwani, Tanzania",,,,,,,,,,,,,,
"Montserrado, Liberia",,,,,,,,,,,,,,
"Porto, Portugal",,,,,,,,,,,,,,
"Southern, Sierra Leone",,,,,,,,,,,,,,
"Ash Shāriqah, United Arab Emirates",,,,,,,,,,,,,,
"Balkh, Afghanistan",,,,,,,,,,,,,,
"Pathum Thani, Thailand",,,,,,,,,,,,,,
"Qoraqalpog'iston Respublikasi, Uzbekistan",,,,,,,,,,,,,,
"Ḩimş, Syria",,,,,,,,,,,,,,
"Nonthaburi, Thailand",,,,,,,,,,,,,,
"Hamburg, Germany",,,,,,,,,,,,,,
"Sétif, Algeria",,,,,,,,,,,,,,
"Diyarbakır, Turkey",,,,,,,,,,,,,,
"Kwango, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Calabria, Italy",,,,,,,,,,,,,,
"Lara, Venezuela",,,,,,,,,,,,,,
"West Virginia, USA",0.16882673262770737,,0.49274025989950065,0.2953810296228516,0.2118787104776477,,,,0.7425399762551745,0.1928990703183819,0.06456095342644369,,,
"South Australia, Australia",,,,,,,,,,,,,,
"Kumamoto, Japan",,,,,,,,,,,,,,
"Songkhla, Thailand",,,,,,,,,,,,,,
"Budapest, Hungary",,,,,,,,,,,,,,
"Mashonaland East, Zimbabwe",,,,,,,,,,,,,,
"Mongala, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Ruvuma, Tanzania",,,,,,,,,,,,,,
"Khon Kaen, Thailand",,,,,,,,,,,,,,
"Kermānshāh, Iran",,,,,,,,,,,,,,
"Markazī, Iran",,,,,,,,,,,,,,
"Hormozgān, Iran",,,,,,,,,,,,,,
"Jeollabuk-do, South Korea",,,,,,,,,,,,,,
"Bukidnon, Philippines",,,,,,,,,,,,,,
"Auckland, New Zealand",,,,,,,,,,,,,,
"Drâa-Tafilalet, Morocco",,,,,,,,,,,,,,
"Hải Dương, Vietnam",,,,,,,,,,,,,,
"Biobío, Chile",,,,,,,,,,,,,,
"Atsimo-Andrefana, Madagascar",,,,,,,,,,,,,,
"Golestān, Iran",,,,,,,,,,,,,,
"Bình Dương, Vietnam",,,,,,,,,,,,,,
"Arunāchal Pradesh, India",,,,,,,,,,,,,,
"Al Qaḑārif, Sudan",,,,,,,,,,,,,,
"Rondônia, Brazil",,,,,,,,,,,,,,
"Central, Zambia",,,,,,,,,,,,,,
"Eastern, Sierra Leone",,,,,,,,,,,,,,
"Pulau Pinang, Malaysia",,,,,,,,,,,,,,
"Kayin, Myanmar",,,,,,,,,,,,,,
"Jeollanam-do, South Korea",,,,,,,,,,,,,,
"Kandahār, Afghanistan",,,,,,,,,,,,,,
"Zachodniopomorskie, Poland",,,,,,,,,,,,,,
"Djelfa, Algeria",,,,,,,,,,,,,,
"Västra Götalands län, Sweden",,,,,,,,,,,,,,
"Zaporizka oblast, Ukraine",,,,,,,,,,,,,,
"Zacatecas, Mexico",,,,,,,,,,,,,,
"Mie, Japan",,,,,,,,,,,,,,
"Manisa, Turkey",,,,,,,,,,,,,,
"Masqaţ, Oman",,,,,,,,,,,,,,
"Centre-Nord, Burkina Faso",,,,,,,,,,,,,,
"Bungoma, Kenya",,,,,,,,,,,,,,
"Aragua, Venezuela",,,,,,,,,,,,,,
"Littoral, Benin",,,,,,,,,,,,,,
"Tucumán, Argentina",,,,,,,,,,,,,,
"Kampala, Uganda",,,,,,,,,,,,,,
"Niederösterreich, Austria",,,,,,,,,,,,,,
"Adana, Turkey",,,,,,,,,,,,,,
"Centre-Ouest, Burkina Faso",,,,,,,,,,,,,,
"Bié, Angola",,,,,,,,,,,,,,
"Panamá, Panama",,,,,,,,,,,,,,
"Kirkūk, Iraq",,,,,,,,,,,,,,
"Kyivska oblast, Ukraine",,,,,,,,,,,,,,
"Ubon Ratchathani, Thailand",,,,,,,,,,,,,,
"San Salvador, El Salvador",,,,,,,,,,,,,,
"Vallée du Bandama, Ivory Coast",,,,,,,,,,,,,,
"Nariño, Colombia",,,,,,,,,,,,,,
"Daejeon-gwangyeoksi, South Korea",,,,,,,,,,,,,,
"Pahang, Malaysia",,,,,,,,,,,,,,
"Ðồng Tháp, Vietnam",,,,,,,,,,,,,,
"Borgou, Benin",,,,,,,,,,,,,,
"Lagunes, Ivory Coast",,,,,,,,,,,,,,
"Kosovo-Metohija, Serbia",,,,,,,,,,,,,,
"Uusimaa, Finland",,,,,,,,,,,,,,
"Quintana Roo, Mexico",,,,,,,,,,,,,,
"Haut-Uélé, Democratic Republic of the Congo",,,,,,,,,,,,,,
"Northern, Zambia",,,,,,,,,,,,,,
"Cibao Nord, Dominican Republic",,,,,,,,,,,,,,
"San José, Costa Rica",,,,,,,,,,,,,,
"Belgorodskaya oblast', Russia",,,,,,,,,,,,,,
"Brazzaville, Congo",,,,,,,,,,,,,,
"Khanty-Mansiyskiy avtonomnyy okrug, Russia",,,,,,,,,,,,,,
"Kangwon-do [Kangweonto], North Korea",,,,,,,,,,,,,,
"Ḩaḑramawt, Yemen",,,,,,,,,,,,,,
"Chungcheongbuk-do, South Korea",,,,,,,,,,,,,,
"Kagosima, Japan",,,,,,,,,,,,,,
"Ardabīl, Iran",,,,,,,,,,,,,,
"Luapula, Zambia",,,,,,,,,,,,,,
"Sofia, Madagascar",,,,,,,,,,,,,,
"Manabí, Ecuador",,,,,,,,,,,,,,
"Puducherry, India",,,,,,,,,,,,,,
"Ulaanbaatar, Mongolia",,,,,,,,,,,,,,
"An Najaf, Iraq",,,,,,,,,,,,,,
"Meru, Kenya",,,,,,,,,,,,,,
"Tocantins, Brazil",,,,,,,,,,,,,,
"Managua, Nicaragua",,,,,,,,,,,,,,
"Kelantan, Malaysia",,,,,,,,,,,,,,
"Nahr an Nīl, Sudan",,,,,,,,,,,,,,
"Songwe, Tanzania",,,,,,,,,,,,,,
"Næ̆gĕnahira paḷāta, Sri Lanka",,,,,,,,,,,,,,
"Fāryāb, Afghanistan",,,,,,,,,,,,,,
"Dumyāţ, Egypt",,,,,,,,,,,,,,
"Kepulauan Bangka Belitung, Indonesia",,,,,,,,,,,,,,
"Gangwon-do, South Korea",,,,,,,,,,,,,,
"Mtwara, Tanzania",,,,,,,,,,,,,,
"Tyumenskaya oblast', Russia",,,,,,,,,,,,,,
"Goa, India",,,,,,,,,,,,,,
"Vinnytska oblast, Ukraine",,,,,,,,,,,,,,
"Cajamarca, Peru",,,,,,,,,,,,,,
"Nord, Burkina Faso",,,,,,,,,,,,,,
"Mecklenburg-Vorpommern, Germany",,,,,,,,,,,,,,
"Sardegna, Italy",,,,,,,,,,,,,,
"Negros Oriental, Philippines",,,,,,,,,,,,,,
"Bolívar, Venezuela",,,,,,,,,,,,,,
"Badakhshān, Afghanistan",,,,,,,,,,,,,,
"Gia Lai, Vietnam",,,,,,,,,,,,,,
"Murcia, Región de, Spain",,,,,,,,,,,,,,
"Chagang-do [Jakangto], North Korea",,,,,,,,,,,,,,
"Bắc Giang, Vietnam",,,,,,,,,,,,,,
"South Cotabato, Philippines",,,,,,,,,,,,,,
"Inhambane, Mozambique",,,,,,,,,,,,,,
"Anzoátegui, Venezuela",,,,,,,,,,,,,,
"Gaza, Mozambique",,,,,,,,,,,,,,
"Sulawesi Barat, Indonesia",,,,,,,,,,,,,,
"Samsun, Turkey",,,,,,,,,,,,,,
"Junín, Peru",,,,,,,,,,,,,,
"Liguria, Italy",,,,,,,,,,,,,,
"Warmińsko-mazurskie, Poland",,,,,,,,,,,,,,
"Marche, Italy",,,,,,,,,,,,,,
"Bình Định, Vietnam",,,,,,,,,,,,,,
"Maluku Utara, Indonesia",,,,,,,,,,,,,,
"Siga, Japan",,,,,,,,,,,,,,
"Takhār, Afghanistan",,,,,,,,,,,,,,
"Mashonaland Central, Zimbabwe",,,,,,,,,,,,,,
"Tel-Aviv, Israel",,,,,,,,,,,,,,
"Puno, Peru",,,,,,,,,,,,,,
"Baat Dambang [Batdâmbâng], Cambodia",,,,,,,,,,,,,,
"Zürich, Switzerland",,,,,,,,,,,,,,
"Chechenskaya Respublika, Russia",,,,,,,,,,,,,,
"Homieĺskaja voblasć, Belarus",,,,,,,,,,,,,,
"Davao del Norte, Philippines",,,,,,,,,,,,,,
"Tanintharyi, Myanmar",,,,,,,,,,,,,,
"Udmurtskaya Respublika, Russia",,,,,,,,,,,,,,
"Madīnat Injamīnā, Chad",,,,,,,,,,,,,,
"Wajir, Kenya",,,,,,,,,,,,,,
"Středočeský kraj, Czech Republic",,,,,,,,,,,,,,
"Wāsiţ, Iraq",,,,,,,,,,,,,,
"Oberösterreich, Austria",,,,,,,,,,,,,,
"Idlib, Syria",,,,,,,,,,,,,,
"Kandaal [Kândal], Cambodia",,,,,,,,,,,,,,
"Okinawa, Japan",,,,,,,,,,,,,,
"Albay, Philippines",,,,,,,,,,,,,,
"Sahel, Burkina Faso",,,,,,,,,,,,,,
"Hawaii, USA",0.09453271842065905,,0.2754556189436757,0.2872450414511077,0.4372993396052166,,,,0.6106974077368402,0.2671712216882249,0.12213137057493476,,,
"Lacs, Ivory Coast",,,,,,,,,,,,,,
"Kayseri, Turkey",,,,,,,,,,,,,,
"Quảng Nam, Vietnam",,,,,,,,,,,,,,
"Atsinanana, Madagascar",,,,,,,,,,,,,,
"Al Ismā‘īlīyah, Egypt",,,,,,,,,,,,,,
"Bresckaja voblasć, Belarus",,,,,,,,,,,,,,
"Cunene, Angola",,,,,,,,,,,,,,
"Tunis, Tunisia",,,,,,,,,,,,,,
"Arequipa, Peru",,,,,,,,,,,,,,
"Karbalā’, Iraq",,,,,,,,,,,,,,
"Garissa, Kenya",,,,,,,,,,,,,,
"Malange, Angola",,,,,,,,,,,,,,
"HaTsafon, Israel",,,,,,,,,,,,,,
"Chon Buri, Thailand",,,,,,,,,,,,,,
"Tarlac, Philippines",,,,,,,,,,,,,,
"Al Ḩasakah, Syria",,,,,,,,,,,,,,
"Jāzān, Saudi Arabia",,,,,,,,,,,,,,
"Gwangju-gwangyeoksi, South Korea",,,,,,,,,,,,,,
