longname
"Division No. 3, Subd. D, Division No. 3, Newfoundland and Labrador, Canada"
"Division No. 5, Subd. E, Division No. 5, Newfoundland and Labrador, Canada"
"Douglas Lake 3 Indian Reserve, Thompson-Nicola Regional district, British Columbia, Canada"
"Dysart Village, Division No. 6, Saskatchewan, Canada"
"Ebenezer Village, Division No. 9, Saskatchewan, Canada"
"Mayo Village, Yukon Territory, Yukon, Canada"
"Middle Lake Village, Division No. 15, Saskatchewan, Canada"
"Postville Town, Division No. 11, Newfoundland and Labrador, Canada"
"Wise Creek No. 77 Rural Municipality, Division No. 4, Saskatchewan, Canada"
"Innisfree Village, Division No. 10, Alberta, Canada"
"Mont-Saint-Pierre Village, La Haute-Gaspésie CRM, Quebec, Canada"
"Saint-Jacques-le-Majeur-de-Wolfestown Paroisse, Les Appalaches CRM, Quebec, Canada"
"Grayson Village, Division No. 5, Saskatchewan, Canada"
"Gull Lake No. 139 Rural Municipality, Division No. 8, Saskatchewan, Canada"
"Long Harbour-Mount Arlington Heights Town, Division No. 1, Newfoundland and Labrador, Canada"
"Westport Town, Division No. 8, Newfoundland and Labrador, Canada"
"Baie-Sainte-Catherine Municipalité, Charlevoix-Est CRM, Quebec, Canada"
"Big Arm No. 251 Rural Municipality, Division No. 11, Saskatchewan, Canada"
"Heart's Desire Town, Division No. 1, Newfoundland and Labrador, Canada"
"Vanguard Village, Division No. 3, Saskatchewan, Canada"
"Division No. 9, Subd. A, Division No. 9, Newfoundland and Labrador, Canada"
"Hagwilget 1 Indian Reserve, Kitimat-Stikine Regional district, British Columbia, Canada"
"Resolute Hamlet, Qikiqtaaluk Region, Nunavut, Canada"
"Sainte-Marguerite-Marie Municipalité, La Matapédia CRM, Quebec, Canada"
"Tullymet No. 216 Rural Municipality, Division No. 6, Saskatchewan, Canada"
"Val-Racine Municipalité, Le Granit CRM, Quebec, Canada"
"Chawathil 4 Indian Reserve, Fraser Valley Regional district, British Columbia, Canada"
"Francis Town, Division No. 6, Saskatchewan, Canada"
"Cold Lake 149B Indian Reserve, Division No. 12, Alberta, Canada"
"North Thompson 1 Indian Reserve, Thompson-Nicola Regional district, British Columbia, Canada"
"Redstone Flat 1 Indian Reserve, Cariboo Regional district, British Columbia, Canada"
"St. Lewis Town, Division No. 10, Newfoundland and Labrador, Canada"
"The Gap No. 39 Rural Municipality, Division No. 2, Saskatchewan, Canada"
"Yarmouth 33 Indian Reserve, Yarmouth County, Nova Scotia, Canada"
"Codette Village, Division No. 14, Saskatchewan, Canada"
"Meductic Village, York County, New Brunswick, Canada"
"Semans Village, Division No. 10, Saskatchewan, Canada"
"The Dalles 38C Indian Reserve, Kenora District, Ontario, Canada"
"Glenavon Village, Division No. 5, Saskatchewan, Canada"
"Howley Town, Division No. 5, Newfoundland and Labrador, Canada"
"Parry Sound, Unorganized, North East Part Unorganized, Parry Sound District, Ontario, Canada"
"Wabasca 166C Indian Reserve, Division No. 17, Alberta, Canada"
"Aroland Indian Settlement, Thunder Bay District, Ontario, Canada"
"King George No. 256 Rural Municipality, Division No. 7, Saskatchewan, Canada"
"Lomond Village, Division No. 5, Alberta, Canada"
"Malachan 11 Indian Reserve, Cowichan Valley Regional district, British Columbia, Canada"
"Sherbrooke Rural Municipality, Prince County, Prince Edward Island, Canada"
"B-Say-Tah Resort Village, Division No. 6, Saskatchewan, Canada"
"Branch Town, Division No. 1, Newfoundland and Labrador, Canada"
"L'Île-d'Anticosti Municipalité, Minganie--Le Golfe-du-Saint-Laurent CDR, Quebec, Canada"
"Prud'homme Village, Division No. 15, Saskatchewan, Canada"
"Red Harbour Town, Division No. 2, Newfoundland and Labrador, Canada"
"Grand Le Pierre Town, Division No. 2, Newfoundland and Labrador, Canada"
"Lang Village, Division No. 2, Saskatchewan, Canada"
"North Wiltshire Rural Municipality, Queens County, Prince Edward Island, Canada"
"Winneway Indian Settlement, Témiscamingue CRM, Quebec, Canada"
"Zenon Park Village, Division No. 14, Saskatchewan, Canada"
"Bird Cove Town, Division No. 9, Newfoundland and Labrador, Canada"
"Division No. 6, Subd. E, Division No. 6, Newfoundland and Labrador, Canada"
"Lac-Frontière Municipalité, Montmagny CRM, Quebec, Canada"
"Lac-des-Seize-Îles Municipalité, Les Pays-d'en-Haut CRM, Quebec, Canada"
"North Grove Resort Village, Division No. 6, Saskatchewan, Canada"
"Rosemount No. 378 Rural Municipality, Division No. 12, Saskatchewan, Canada"
"Wabigoon Lake 27 Indian Reserve, Kenora District, Ontario, Canada"
"Bulkley River 19 Indian Reserve, Kitimat-Stikine Regional district, British Columbia, Canada"
"Island Lake Summer Village, Division No. 13, Alberta, Canada"
"White Sands Summer Village, Division No. 7, Alberta, Canada"
"Holdfast Village, Division No. 6, Saskatchewan, Canada"
"Little Black Bear 84 Indian Reserve, Division No. 6, Saskatchewan, Canada"
"River of Ponds Town, Division No. 9, Newfoundland and Labrador, Canada"
"Spy Hill Village, Division No. 5, Saskatchewan, Canada"
"Child Lake 164A Indian Reserve, Division No. 17, Alberta, Canada"
"Goose Cove East Town, Division No. 9, Newfoundland and Labrador, Canada"
"Indian Bay Town, Division No. 7, Newfoundland and Labrador, Canada"
"Lac-Poulin Village, Beauce-Sartigan CRM, Quebec, Canada"
"Rat Portage 38A Indian Reserve, Kenora District, Ontario, Canada"
"Youngstown Village, Division No. 4, Alberta, Canada"
"Breadalbane Rural Municipality, Queens County, Prince Edward Island, Canada"
"Coteau Beach Resort Village, Division No. 7, Saskatchewan, Canada"
"Lakahahmen 11 Indian Reserve, Fraser Valley Regional district, British Columbia, Canada"
"Munson Village, Division No. 5, Alberta, Canada"
"Nooaitch 10 Indian Reserve, Thompson-Nicola Regional district, British Columbia, Canada"
"Ristigouche-Partie-Sud-Est Canton, Avignon CRM, Quebec, Canada"
"Lushes Bight-Beaumont-Beaumont North Town, Division No. 8, Newfoundland and Labrador, Canada"
"Meath Park Village, Division No. 15, Saskatchewan, Canada"
"Nekaneet Cree Nation Indian Reserve, Division No. 4, Saskatchewan, Canada"
"Val-Saint-Gilles Municipalité, Abitibi-Ouest CRM, Quebec, Canada"
"Clinworth No. 230 Rural Municipality, Division No. 8, Saskatchewan, Canada"
"Hill Spring Village, Division No. 3, Alberta, Canada"
"Parkland Beach Summer Village, Division No. 8, Alberta, Canada"
"Conquest Village, Division No. 12, Saskatchewan, Canada"
"Mont-Albert Unorganized, La Haute-Gaspésie CRM, Quebec, Canada"
"Alliance Village, Division No. 7, Alberta, Canada"
"New Credit (Part) 40A Indian Reserve, Haldimand-Norfolk CDR, Ontario, Canada"
"Malahat 11 Indian Reserve, Cowichan Valley Regional district, British Columbia, Canada"
"Riverhead Town, Division No. 1, Newfoundland and Labrador, Canada"
"Star Blanket 83 Indian Reserve, Division No. 6, Saskatchewan, Canada"
"Bradwell Village, Division No. 11, Saskatchewan, Canada"
"Hussar Village, Division No. 5, Alberta, Canada"
"Ocean Man 69 Indian Reserve, Division No. 1, Saskatchewan, Canada"
"Brighton Town, Division No. 8, Newfoundland and Labrador, Canada"
"Maymont Village, Division No. 16, Saskatchewan, Canada"
"Saint-Jean-de-Cherbourg Paroisse, La Matanie CRM, Quebec, Canada"
"Smeaton Village, Division No. 14, Saskatchewan, Canada"
"Thode Resort Village, Division No. 11, Saskatchewan, Canada"
"Central Coast E Regional District Electoral Area, Central Coast Regional district, British Columbia, Canada"
"Ma-Me-O Beach Summer Village, Division No. 11, Alberta, Canada"
"Rosalind Village, Division No. 10, Alberta, Canada"
"Lac-Chicobi Unorganized, Abitibi CRM, Quebec, Canada"
"Pelee Township, Essex County, Ontario, Canada"
"Woodland Cree 228 Indian Reserve, Division No. 17, Alberta, Canada"
"Weldon Village, Division No. 15, Saskatchewan, Canada"
"Bonaparte 3 Indian Reserve, Thompson-Nicola Regional district, British Columbia, Canada"
"Flin Flon (Part) City, Division No. 18, Saskatchewan, Canada"
"Frenchman's Cove Town, Division No. 2, Newfoundland and Labrador, Canada"
"Glen Ewen Village, Division No. 1, Saskatchewan, Canada"
"Mervin Village, Division No. 17, Saskatchewan, Canada"
"Notre-Dame-de-Lorette Municipalité, Maria-Chapdelaine CRM, Quebec, Canada"
"Division No. 8, Subd. I, Division No. 8, Newfoundland and Labrador, Canada"
"Improvement District No. 4 Waterton Improvement District, Division No. 3, Alberta, Canada"
"Kisbey Village, Division No. 1, Saskatchewan, Canada"
"Pelican Narrows Summer Village, Division No. 12, Alberta, Canada"
"Rainy Lake 26A Indian Reserve, Rainy River District, Ontario, Canada"
"Sheguiandah 24 Indian Reserve, Manitoulin District, Ontario, Canada"
"Squiaala Indian Reserve, Fraser Valley Regional district, British Columbia, Canada"
"Val Quentin Summer Village, Division No. 13, Alberta, Canada"
"Wabasca 166 Indian Reserve, Division No. 17, Alberta, Canada"
"Houpsitas 6 Indian Reserve, Strathcona Regional district, British Columbia, Canada"
"North River Fire District, Queens County, Prince Edward Island, Canada"
"Northport Rural Municipality, Prince County, Prince Edward Island, Canada"
"Petite-Vallée Municipalité, La Côte-de-Gaspé CRM, Quebec, Canada"
"Wheatlands No. 163 Rural Municipality, Division No. 7, Saskatchewan, Canada"
"Abitibi 70 Indian Reserve, Cochrane District, Ontario, Canada"
"Crow Head Town, Division No. 8, Newfoundland and Labrador, Canada"
"Halalt 2 Indian Reserve, Cowichan Valley Regional district, British Columbia, Canada"
"Kananaskis Improvement District, Division No. 15, Alberta, Canada"
"Ministikwan 161A Indian Reserve, Division No. 17, Saskatchewan, Canada"
"Briercrest Village, Division No. 6, Saskatchewan, Canada"
"Division No. 9, Subd. H, Division No. 9, Newfoundland and Labrador, Canada"
"Lord's Cove Town, Division No. 2, Newfoundland and Labrador, Canada"
"Moose Lake 31D Indian Reserve, Division No. 21, Manitoba, Canada"
"Nequatque Indian Reserve, Squamish-Lillooet Regional district, British Columbia, Canada"
"Shawanaga 17 Indian Reserve, Parry Sound District, Ontario, Canada"
"Duck Lake 76B Indian Reserve, Sudbury District, Ontario, Canada"
"Rocky Bay 1 Indian Reserve, Thunder Bay District, Ontario, Canada"
"Saint-André-de-Restigouche Municipalité, Avignon CRM, Quebec, Canada"
"Sun Valley Resort Village, Division No. 7, Saskatchewan, Canada"
"Turnor Lake Northern Hamlet, Division No. 18, Saskatchewan, Canada"
"Archerwill Village, Division No. 14, Saskatchewan, Canada"
"Mattawan Township, Nipissing District, Ontario, Canada"
"Milden Village, Division No. 12, Saskatchewan, Canada"
"Opitsat 1 Indian Reserve, Alberni-Clayoquot Regional district, British Columbia, Canada"
"Paradise Valley Village, Division No. 10, Alberta, Canada"
"Sunrise Beach Summer Village, Division No. 13, Alberta, Canada"
"Tompkins Village, Division No. 8, Saskatchewan, Canada"
"Delia Village, Division No. 5, Alberta, Canada"
"Riverhurst Village, Division No. 7, Saskatchewan, Canada"
"Gauthier Township, Timiskaming District, Ontario, Canada"
"Thessalon 12 Indian Reserve, Algoma District, Ontario, Canada"
"Ahahswinis 1 Indian Reserve, Alberni-Clayoquot Regional district, British Columbia, Canada"
"Bird's Point Resort Village, Division No. 5, Saskatchewan, Canada"
"Colborne Parish, Restigouche County, New Brunswick, Canada"
"Lintlaw Village, Division No. 9, Saskatchewan, Canada"
"Ohamil 1 Indian Reserve, Fraser Valley Regional district, British Columbia, Canada"
"Raleigh Town, Division No. 9, Newfoundland and Labrador, Canada"
"Black Sturgeon Indian Reserve, Division No. 23, Manitoba, Canada"
"Central Coast A Regional District Electoral Area, Central Coast Regional district, British Columbia, Canada"
"Columbia Lake 3 Indian Reserve, East Kootenay Regional district, British Columbia, Canada"
"Conche Town, Division No. 9, Newfoundland and Labrador, Canada"
"Rhein Village, Division No. 9, Saskatchewan, Canada"
"Sheenboro Municipalité, Pontiac CRM, Quebec, Canada"
"Silverton Village, Central Kootenay Regional district, British Columbia, Canada"
"Big Stick No. 141 Rural Municipality, Division No. 8, Saskatchewan, Canada"
"Empress Village, Division No. 4, Alberta, Canada"
"L'Ascension-de-Patapédia Municipalité, Avignon CRM, Quebec, Canada"
"Miminegash Rural Municipality, Prince County, Prince Edward Island, Canada"
"Nicola Lake 1 Indian Reserve, Thompson-Nicola Regional district, British Columbia, Canada"
"Bjorkdale Village, Division No. 14, Saskatchewan, Canada"
"Hodgeville Village, Division No. 7, Saskatchewan, Canada"
"Red Sucker Lake 1976A Indian Reserve, Division No. 22, Manitoba, Canada"
"Division No. 3, Subd. C, Division No. 3, Newfoundland and Labrador, Canada"
"Rochebaucourt Municipalité, Abitibi CRM, Quebec, Canada"
"Blueberry River 205 Indian Reserve, Peace River Regional district, British Columbia, Canada"
"Canaan No. 225 Rural Municipality, Division No. 7, Saskatchewan, Canada"
"Cape Mudge 10 Indian Reserve, Strathcona Regional district, British Columbia, Canada"
"Day Star 87 Indian Reserve, Division No. 10, Saskatchewan, Canada"
"Kootenay 1 Indian Reserve, East Kootenay Regional district, British Columbia, Canada"
"Pacquet Town, Division No. 8, Newfoundland and Labrador, Canada"
"Utikoomak Lake 155A Indian Reserve, Division No. 17, Alberta, Canada"
"Grise Fiord Hamlet, Qikiqtaaluk Region, Nunavut, Canada"
"La Plonge 192 Indian Reserve, Division No. 18, Saskatchewan, Canada"
"The Key 65 Indian Reserve, Division No. 9, Saskatchewan, Canada"
"Grandview Summer Village, Division No. 11, Alberta, Canada"
"Pool's Cove Town, Division No. 3, Newfoundland and Labrador, Canada"
"Guhthe Tah 12 Indian Reserve, Kitimat-Stikine Regional district, British Columbia, Canada"
"Kingsbury Village, Le Val-Saint-François CRM, Quebec, Canada"
"Marcelin Village, Division No. 16, Saskatchewan, Canada"
"Red Bay Town, Division No. 10, Newfoundland and Labrador, Canada"
"Bear River (Part) 6 Indian Reserve, Digby County, Nova Scotia, Canada"
"Division No. 8, Subd. M, Division No. 8, Newfoundland and Labrador, Canada"
"Makaoo (Part) 120 Indian Reserve, Division No. 10, Alberta, Canada"
"Rapides-des-Joachims Municipalité, Pontiac CRM, Quebec, Canada"
"Rivière-à-Claude Municipalité, La Haute-Gaspésie CRM, Quebec, Canada"
"Denzil Village, Division No. 13, Saskatchewan, Canada"
"Division No. 7, Subd. A, Division No. 7, Newfoundland and Labrador, Canada"
"Lac-Ashuapmushuan Unorganized, Le Domaine-du-Roy CRM, Quebec, Canada"
"Lake Johnston No. 102 Rural Municipality, Division No. 3, Saskatchewan, Canada"
"Lone Tree No. 18 Rural Municipality, Division No. 4, Saskatchewan, Canada"
"Wreford No. 280 Rural Municipality, Division No. 11, Saskatchewan, Canada"
"Southend No. 200A Indian Reserve, Division No. 18, Saskatchewan, Canada"
"Tobin Lake Resort Village, Division No. 14, Saskatchewan, Canada"
"Victoria Rural Municipality, Queens County, Prince Edward Island, Canada"
"Wuskwi Sipihk First Nation 2 Indian Reserve, Division No. 20, Manitoba, Canada"
"Pic Mobert North Indian Reserve, Thunder Bay District, Ontario, Canada"
"Tsiigehtchic Chartered Community, Region 1 Region, Northwest Territories, Canada"
"Climax Village, Division No. 4, Saskatchewan, Canada"
"French River 13 Indian Reserve, Parry Sound District, Ontario, Canada"
"Kivimaa-Moonlight Bay Resort Village, Division No. 17, Saskatchewan, Canada"
"Point of Bay Town, Division No. 8, Newfoundland and Labrador, Canada"
"Squinas 2 Indian Reserve, Cariboo Regional district, British Columbia, Canada"
"Milo Village, Division No. 5, Alberta, Canada"
"Saug-A-Gaw-Sing 1 Indian Reserve, Rainy River District, Ontario, Canada"
"Central Kings Fire District, Kings County, Prince Edward Island, Canada"
"Heisler Village, Division No. 7, Alberta, Canada"
"Brock Village, Division No. 13, Saskatchewan, Canada"
"Flaxcombe Village, Division No. 13, Saskatchewan, Canada"
"Grizzly Bear's Head 110 and Lean Man 111 Indian Reserve, Division No. 12, Saskatchewan, Canada"
"Indian Ranch Indian Reserve, Restigouche County, New Brunswick, Canada"
"Island View Resort Village, Division No. 6, Saskatchewan, Canada"
"Landis Village, Division No. 13, Saskatchewan, Canada"
"Pabineau 11 Indian Reserve, Gloucester County, New Brunswick, Canada"
"Parkside Village, Division No. 16, Saskatchewan, Canada"
"Simpson Village, Division No. 11, Saskatchewan, Canada"
"Sunbreaker Cove Summer Village, Division No. 8, Alberta, Canada"
"Eyebrow Village, Division No. 7, Saskatchewan, Canada"
"Squawkum Creek 3 Indian Reserve, Fraser Valley Regional district, British Columbia, Canada"
"Upper Liard Settlement, Yukon Territory, Yukon, Canada"
"Gerald Village, Division No. 5, Saskatchewan, Canada"
"Gregoire Lake 176A Indian Reserve, Division No. 16, Alberta, Canada"
"Munsee-Delaware Nation 1 Indian Reserve, Middlesex County, Ontario, Canada"
"New Post 69A Indian Reserve, Cochrane District, Ontario, Canada"
"Plenty Village, Division No. 13, Saskatchewan, Canada"
"Whispering Hills Summer Village, Division No. 13, Alberta, Canada"
"Chaplin No. 164 Rural Municipality, Division No. 7, Saskatchewan, Canada"
"Frobisher Village, Division No. 1, Saskatchewan, Canada"
"Mosquito 109 Indian Reserve, Division No. 12, Saskatchewan, Canada"
"Pic Mobert South Indian Reserve, Thunder Bay District, Ontario, Canada"
"Sheshegwaning 20 Indian Reserve, Manitoulin District, Ontario, Canada"
"Baine Harbour Town, Division No. 2, Newfoundland and Labrador, Canada"
"Edberg Village, Division No. 10, Alberta, Canada"
"Fox Lake 2 Indian Reserve, Division No. 23, Manitoba, Canada"
"Kannata Valley Resort Village, Division No. 6, Saskatchewan, Canada"
"Ross Haven Summer Village, Division No. 13, Alberta, Canada"
"Zeballos Village, Strathcona Regional district, British Columbia, Canada"
"Cardigan Fire District, Kings County, Prince Edward Island, Canada"
"Happy Valley No. 10 Rural Municipality, Division No. 2, Saskatchewan, Canada"
"McTaggart Village, Division No. 2, Saskatchewan, Canada"
"Mississaugas of Scugog Island Indian Reserve, Durham Regional municipality, Ontario, Canada"
"Rainy Lake 18C Indian Reserve, Rainy River District, Ontario, Canada"
"St. Brendan's Town, Division No. 7, Newfoundland and Labrador, Canada"
"Whitefish Bay 34A Indian Reserve, Kenora District, Ontario, Canada"
"Antelope Park No. 322 Rural Municipality, Division No. 13, Saskatchewan, Canada"
"Bondiss Summer Village, Division No. 13, Alberta, Canada"
"Sintaluta Town, Division No. 6, Saskatchewan, Canada"
"Wahnapitei 11 Indian Reserve, Greater Sudbury / Grand Sudbury CDR, Ontario, Canada"
"Boyer 164 Indian Reserve, Division No. 17, Alberta, Canada"
"Division No. 2, Subd. I, Division No. 2, Newfoundland and Labrador, Canada"
"Pelican Narrows Northern Village, Division No. 18, Saskatchewan, Canada"
"Saint-Antoine-de-l'Isle-aux-Grues Paroisse, Montmagny CRM, Quebec, Canada"
"Saint-Pierre-de-Lamy Municipalité, Témiscouata CRM, Quebec, Canada"
"Sheho Village, Division No. 9, Saskatchewan, Canada"
"Albertville Village, Division No. 15, Saskatchewan, Canada"
"Bulyea Village, Division No. 6, Saskatchewan, Canada"
"Medstead Village, Division No. 16, Saskatchewan, Canada"
"Esquimalt Indian Reserve, Capital Regional district, British Columbia, Canada"
"Kincaid Village, Division No. 3, Saskatchewan, Canada"
"Paynton Village, Division No. 17, Saskatchewan, Canada"
"Pennant Village, Division No. 8, Saskatchewan, Canada"
"Sandy Cove Town, Division No. 7, Newfoundland and Labrador, Canada"
"Val Marie Village, Division No. 4, Saskatchewan, Canada"
"Brent's Cove Town, Division No. 8, Newfoundland and Labrador, Canada"
"Division No. 1, Subd. D, Division No. 1, Newfoundland and Labrador, Canada"
"Matsqui Main 2 Indian Reserve, Fraser Valley Regional district, British Columbia, Canada"
"Opaskwayak Cree Nation 21I Indian Reserve, Division No. 21, Manitoba, Canada"
"Binche 2 Indian Reserve, Bulkley-Nechako Regional district, British Columbia, Canada"
"Cook's Harbour Town, Division No. 9, Newfoundland and Labrador, Canada"
"Grandview Beach Resort Village, Division No. 6, Saskatchewan, Canada"
"Happy Adventure Town, Division No. 7, Newfoundland and Labrador, Canada"
"Mistusinne Resort Village, Division No. 7, Saskatchewan, Canada"
"Neguaguon Lake 25D Indian Reserve, Rainy River District, Ontario, Canada"
"Paddockwood Village, Division No. 15, Saskatchewan, Canada"
"Richmound Village, Division No. 8, Saskatchewan, Canada"
"English Harbour East Town, Division No. 2, Newfoundland and Labrador, Canada"
"Wrigley Settlement, Region 4 Region, Northwest Territories, Canada"
"Yellowstone Summer Village, Division No. 13, Alberta, Canada"
"Cadillac Village, Division No. 4, Saskatchewan, Canada"
"Desmarais Indian Settlement, Division No. 17, Alberta, Canada"
"Indian Island 28 Indian Reserve, Kent County, New Brunswick, Canada"
"Jans Bay Northern Hamlet, Division No. 18, Saskatchewan, Canada"
"Prelate Village, Division No. 8, Saskatchewan, Canada"
"Ulkatcho 14A Indian Reserve, Cariboo Regional district, British Columbia, Canada"
"Division No. 3, Subd. F, Division No. 3, Newfoundland and Labrador, Canada"
"Eagles Lake 165C Indian Reserve, Division No. 17, Saskatchewan, Canada"
"Rencontre East Town, Division No. 3, Newfoundland and Labrador, Canada"
"Liard River 3 Indian Reserve, Stikine Region, British Columbia, Canada"
"Limerick Village, Division No. 3, Saskatchewan, Canada"
"Allison Bay 219 Indian Reserve, Division No. 16, Alberta, Canada"
"Lac-Walker Unorganized, Sept-Rivières--Caniapiscau CDR, Quebec, Canada"
"North Portal Village, Division No. 1, Saskatchewan, Canada"
"Poplar Bay Summer Village, Division No. 11, Alberta, Canada"
"Waseca Village, Division No. 17, Saskatchewan, Canada"
"Coachman's Cove Town, Division No. 8, Newfoundland and Labrador, Canada"
"Deep Creek 2 Indian Reserve, Cariboo Regional district, British Columbia, Canada"
"Duncan's 151A Indian Reserve, Division No. 19, Alberta, Canada"
"Glooscap 35 Indian Reserve, Kings County, Nova Scotia, Canada"
"Jansen Village, Division No. 10, Saskatchewan, Canada"
"Quaee 7 Indian Reserve, Mount Waddington Regional district, British Columbia, Canada"
"Colville Lake Settlement, Region 2 Region, Northwest Territories, Canada"
"Enterprise No. 142 Rural Municipality, Division No. 8, Saskatchewan, Canada"
"Gull River 55 Indian Reserve, Thunder Bay District, Ontario, Canada"
"Halbrite Village, Division No. 2, Saskatchewan, Canada"
"Leslie Beach Resort Village, Division No. 10, Saskatchewan, Canada"
"Quesnel 1 Indian Reserve, Cariboo Regional district, British Columbia, Canada"
"Ranchland No. 66 Municipal District, Division No. 15, Alberta, Canada"
"Sagard Unorganized, Charlevoix-Est CRM, Quebec, Canada"
"Union Bay 4 Indian Reserve, Capital Regional district, British Columbia, Canada"
"Wekweètì Community Government, Region 3 Region, Northwest Territories, Canada"
"Salvage Town, Division No. 7, Newfoundland and Labrador, Canada"
"Dorintosh Village, Division No. 17, Saskatchewan, Canada"
"Prophet River 4 Indian Reserve, Northern Rockies Regional district, British Columbia, Canada"
"Stewart Valley Village, Division No. 8, Saskatchewan, Canada"
"Division No. 1, Subd. C, Division No. 1, Newfoundland and Labrador, Canada"
"Brethour Township, Timiskaming District, Ontario, Canada"
"Oyster Bay 12 Indian Reserve, Cowichan Valley Regional district, British Columbia, Canada"
"Rodgers No. 133 Rural Municipality, Division No. 7, Saskatchewan, Canada"
"Seymour Creek 2 Indian Reserve, Greater Vancouver Regional district, British Columbia, Canada"
"Anacla 12 Indian Reserve, Alberni-Clayoquot Regional district, British Columbia, Canada"
"Canoe Creek 2 Indian Reserve, Thompson-Nicola Regional district, British Columbia, Canada"
"North Battleford Crown Colony, Division No. 16, Saskatchewan, Canada"
"Sachs Harbour Hamlet, Region 1 Region, Northwest Territories, Canada"
"St. Gregor Village, Division No. 15, Saskatchewan, Canada"
"Toosey 1 Indian Reserve, Cariboo Regional district, British Columbia, Canada"
"Alida Village, Division No. 1, Saskatchewan, Canada"
"Colinet Town, Division No. 1, Newfoundland and Labrador, Canada"
"Creelman Village, Division No. 2, Saskatchewan, Canada"
"Mewatha Beach Summer Village, Division No. 13, Alberta, Canada"
"Tuxford Village, Division No. 7, Saskatchewan, Canada"
"Magnetewan 1 Indian Reserve, Parry Sound District, Ontario, Canada"
"Nipissing, Unorganized, South Part Unorganized, Nipissing District, Ontario, Canada"
"Saint-Guillaume-Nord Unorganized, Matawinie CRM, Quebec, Canada"
"West St. Modeste Town, Division No. 10, Newfoundland and Labrador, Canada"
"Buctouche 16 Indian Reserve, Kent County, New Brunswick, Canada"
"Division No. 6, Subd. A, Division No. 6, Newfoundland and Labrador, Canada"
"Nuuautin 2 Indian Reserve, Thompson-Nicola Regional district, British Columbia, Canada"
"Siska Flat Indian Reserve, Thompson-Nicola Regional district, British Columbia, Canada"
"Abbey Village, Division No. 8, Saskatchewan, Canada"
"Gaultois Town, Division No. 3, Newfoundland and Labrador, Canada"
"Little Bay Town, Division No. 8, Newfoundland and Labrador, Canada"
"Loreburn Village, Division No. 11, Saskatchewan, Canada"
"Pays Plat 51 Indian Reserve, Thunder Bay District, Ontario, Canada"
"Roseau Rapids 2A Indian Reserve, Division No. 2, Manitoba, Canada"
"Seal Cove (Fortune Bay) Town, Division No. 3, Newfoundland and Labrador, Canada"
"Weyakwin Northern Hamlet, Division No. 18, Saskatchewan, Canada"
"Darlington Rural Municipality, Queens County, Prince Edward Island, Canada"
"Division No. 2, Subd. F, Division No. 2, Newfoundland and Labrador, Canada"
"Terra Nova Town, Division No. 7, Newfoundland and Labrador, Canada"
"West Moberly Lake 168A Indian Reserve, Peace River Regional district, British Columbia, Canada"
"Dakota Plains 6A Indian Reserve, Division No. 9, Manitoba, Canada"
"Shesheep 74A Indian Reserve, Division No. 5, Saskatchewan, Canada"
"Stawamus 24 Indian Reserve, Squamish-Lillooet Regional district, British Columbia, Canada"
"Admirals Beach Town, Division No. 1, Newfoundland and Labrador, Canada"
"Beachside Town, Division No. 8, Newfoundland and Labrador, Canada"
"Ceylon Village, Division No. 2, Saskatchewan, Canada"
"Hillsborough No. 132 Rural Municipality, Division No. 7, Saskatchewan, Canada"
"Kapawe'no First Nation 229 Indian Reserve, Division No. 17, Alberta, Canada"
"Marble Canyon 3 Indian Reserve, Thompson-Nicola Regional district, British Columbia, Canada"
"Miles Cove Town, Division No. 8, Newfoundland and Labrador, Canada"
"Rochon Sands Summer Village, Division No. 7, Alberta, Canada"
"Sambaa Ke Settlement, Region 4 Region, Northwest Territories, Canada"
"Broderick Village, Division No. 11, Saskatchewan, Canada"
"Chamberlain Village, Division No. 6, Saskatchewan, Canada"
"Division No. 9, Subd. G, Division No. 9, Newfoundland and Labrador, Canada"
"McMillan Island 6 Indian Reserve, Greater Vancouver Regional district, British Columbia, Canada"
"Meacham Village, Division No. 11, Saskatchewan, Canada"
"Saint-Hilaire-de-Dorset Paroisse, Beauce-Sartigan CRM, Quebec, Canada"
"Shoal Lake (Part) 40 Indian Reserve, Kenora District, Ontario, Canada"
"Tobacco Plains 2 Indian Reserve, East Kootenay Regional district, British Columbia, Canada"
"Cheakamus 11 Indian Reserve, Squamish-Lillooet Regional district, British Columbia, Canada"
"Division No. 20, Unorganized, South Part, Division No. 20, Manitoba, Canada"
"Duval Village, Division No. 11, Saskatchewan, Canada"
"Nesuch 3 Indian Reserve, Squamish-Lillooet Regional district, British Columbia, Canada"
"Shoal River 65B Indian Reserve, Division No. 19, Manitoba, Canada"
"Silton Village, Division No. 6, Saskatchewan, Canada"
"Champneuf Municipalité, Abitibi CRM, Quebec, Canada"
"Whitefish Bay 33A Indian Reserve, Kenora District, Ontario, Canada"
"Creston 1 Indian Reserve, Central Kootenay Regional district, British Columbia, Canada"
"Fountain 1 Indian Reserve, Squamish-Lillooet Regional district, British Columbia, Canada"
"Morrisville Town, Division No. 3, Newfoundland and Labrador, Canada"
"Halkirk Village, Division No. 7, Alberta, Canada"
"Palling 1 Indian Reserve, Bulkley-Nechako Regional district, British Columbia, Canada"
"Rivière-aux-Outardes Unorganized, Manicouagan CRM, Quebec, Canada"
"Thornloe Village, Timiskaming District, Ontario, Canada"
