longname,Silent %,Silent % [StatCan],Boomer %,Boomer % [StatCan],Gen X %,Gen X % [StatCan],Millennial %,Millennial % [StatCan],Gen Z %,Gen Z % [StatCan],Gen Alpha %,Gen Alpha % [StatCan]
"Montagnes, Ivory Coast",,,,,,,,,,,,
"San Luis Potosí, Mexico",,,,,,,,,,,,
"Noord-Holland, Netherlands",,,,,,,,,,,,
"Kayes, Mali",,,,,,,,,,,,
"Rīf Dimashq, Syria",,,,,,,,,,,,
"Mato Grosso do Sul, Brazil",,,,,,,,,,,,
"Pampanga, Philippines",,,,,,,,,,,,
"Tshopo, Democratic Republic of the Congo",,,,,,,,,,,,
"Incheon-gwangyeoksi, South Korea",,,,,,,,,,,,
"Ibaraki, Japan",,,,,,,,,,,,
"Bourgogne-Franche-Comté, France",,,,,,,,,,,,
"P’yŏngan-bukto [Phyeonganpukto], North Korea",,,,,,,,,,,,
"Namangan, Uzbekistan",,,,,,,,,,,,
"Iloilo, Philippines",,,,,,,,,,,,
"Mopti, Mali",,,,,,,,,,,,
"Abuja Federal Capital Territory, Nigeria",,,,,,,,,,,,
"Novosibirskaya oblast', Russia",,,,,,,,,,,,
"Leinster, Ireland",,,,,,,,,,,,
"Free State, South Africa",,,,,,,,,,,,
"North, Cameroon",,,,,,,,,,,,
"Ouest, Rwanda",,,,,,,,,,,,
"Tabasco, Mexico",,,,,,,,,,,,
"Hirosima, Japan",,,,,,,,,,,,
"Central, Ghana",,,,,,,,,,,,
"Kankan, Guinea",,,,,,,,,,,,
"Almaty oblysy, Kazakhstan",,,,,,,,,,,,
"Geita, Tanzania",,,,,,,,,,,,
"Tanga, Tanzania",,,,,,,,,,,,
"Sarawak, Malaysia",,,,,,,,,,,,
"Sassandra-Marahoué, Ivory Coast",,,,,,,,,,,,
"Béni Mellal-Khénifra, Morocco",,,,,,,,,,,,
"Bas-Sassandra, Ivory Coast",,,,,,,,,,,,
"Sulawesi Tenggara, Indonesia",,,,,,,,,,,,
"Western Australia, Australia",,,,,,,,,,,,
"Al Baḩr al Aḩmar, Sudan",,,,,,,,,,,,
"Sughd, Tajikistan",,,,,,,,,,,,
"Nasarawa, Nigeria",,,,,,,,,,,,
"Dosso, Niger",,,,,,,,,,,,
"Krasnoyarskiy kray, Russia",,,,,,,,,,,,
"Madhyama paḷāta, Sri Lanka",,,,,,,,,,,,
"Gyeongsangbuk-do, South Korea",,,,,,,,,,,,
"Copperbelt, Zambia",,,,,,,,,,,,
"Kharkivska oblast, Ukraine",,,,,,,,,,,,
"Davao del Sur, Philippines",,,,,,,,,,,,
"Atlántico, Colombia",,,,,,,,,,,,
"Kemerovskaya oblast', Russia",,,,,,,,,,,,
"Dakuṇu paḷāta, Sri Lanka",,,,,,,,,,,,
"Hwanghae-namdo [Hwanghainamto], North Korea",,,,,,,,,,,,
"Bayelsa, Nigeria",,,,,,,,,,,,
"Kalimantan Tengah, Indonesia",,,,,,,,,,,,
"Arbīl, Iraq",,,,,,,,,,,,
"Dodoma, Tanzania",,,,,,,,,,,,
"An Nīl al Abyaḑ, Sudan",,,,,,,,,,,,
"Sulawesi Utara, Indonesia",,,,,,,,,,,,
"Sīstān va Balūchestān, Iran",,,,,,,,,,,,
"Perak, Malaysia",,,,,,,,,,,,
"Vayamba paḷāta, Sri Lanka",,,,,,,,,,,,
"Antalya, Turkey",,,,,,,,,,,,
"Sizuoka, Japan",,,,,,,,,,,,
"Hauts-Bassins, Burkina Faso",,,,,,,,,,,,
"Maputo (City), Mozambique",,,,,,,,,,,,
"Noord-Brabant, Netherlands",,,,,,,,,,,,
"Centre-Val de Loire, France",,,,,,,,,,,,
"Surxondaryo, Uzbekistan",,,,,,,,,,,,
"Permskiy kray, Russia",,,,,,,,,,,,
"Volgogradskaya oblast', Russia",,,,,,,,,,,,
"Brandenburg, Germany",,,,,,,,,,,,
"HaMerkaz, Israel",,,,,,,,,,,,
"Samut Prakan, Thailand",,,,,,,,,,,,
"Bābil, Iraq",,,,,,,,,,,,
"Miyagi, Japan",,,,,,,,,,,,
"L'Oriental, Morocco",,,,,,,,,,,,
"Miranda, Venezuela",,,,,,,,,,,,
"Lvivska oblast, Ukraine",,,,,,,,,,,,
"Stockholms län, Sweden",,,,,,,,,,,,
"Galicia, Spain",,,,,,,,,,,,
"Kyôto, Japan",,,,,,,,,,,,
"Saratovskaya oblast', Russia",,,,,,,,,,,,
"Quezon, Philippines",,,,,,,,,,,,
"Kepulauan Riau, Indonesia",,,,,,,,,,,,
"Nueva Ecija, Philippines",,,,,,,,,,,,
"Łódzkie, Poland",,,,,,,,,,,,
"Benguela, Angola",,,,,,,,,,,,
"Al Madīnah al Munawwarah, Saudi Arabia",,,,,,,,,,,,
"Bolívar, Colombia",,,,,,,,,,,,
"Mandera, Kenya",,,,,,,,,,,,
"Sergipe, Brazil",,,,,,,,,,,,
"Sofala, Mozambique",,,,,,,,,,,,
"Ciudad Autónoma de Buenos Aires, Argentina",,,,,,,,,,,,
"Camarines Sur, Philippines",,,,,,,,,,,,
"Nakuru, Kenya",,,,,,,,,,,,
"Al Anbār, Iraq",,,,,,,,,,,,
"Irkutskaya oblast', Russia",,,,,,,,,,,,
"Manica, Mozambique",,,,,,,,,,,,
"Daegu-gwangyeoksi, South Korea",,,,,,,,,,,,
"Voronezhskaya oblast', Russia",,,,,,,,,,,,
"Lisboa, Portugal",,,,,,,,,,,,
"Dhī Qār, Iraq",,,,,,,,,,,,
"Hamgyŏng-bukto [Hamkyeongpukto], North Korea",,,,,,,,,,,,
"Ḩajjah, Yemen",,,,,,,,,,,,
"Wilayah Persekutuan Kuala Lumpur, Malaysia",,,,,,,,,,,,
"Đắk Lắk, Vietnam",,,,,,,,,,,,
"Pomorskie, Poland",,,,,,,,,,,,
"Odeska oblast, Ukraine",,,,,,,,,,,,
"Mara, Tanzania",,,,,,,,,,,,
"Nakhon Ratchasima, Thailand",,,,,,,,,,,,
"Sud-Ubangi, Democratic Republic of the Congo",,,,,,,,,,,,
"Arusha, Tanzania",,,,,,,,,,,,
"Sharq Dārfūr, Sudan",,,,,,,,,,,,
"Maniema, Democratic Republic of the Congo",,,,,,,,,,,,
"Konya, Turkey",,,,,,,,,,,,
"Alger, Algeria",,,,,,,,,,,,
"Western, Ghana",,,,,,,,,,,,
"Dahūk, Iraq",,,,,,,,,,,,
"Southern, Zambia",,,,,,,,,,,,
"Nangarhār, Afghanistan",,,,,,,,,,,,
"Niigata, Japan",,,,,,,,,,,,
"Castilla y León, Spain",,,,,,,,,,,,
"Santander, Colombia",,,,,,,,,,,,
"Altayskiy kray, Russia",,,,,,,,,,,,
"Nord, Rwanda",,,,,,,,,,,,
"Eastern, Zambia",,,,,,,,,,,,
"Islamabad, Pakistan",,,,,,,,,,,,
"Carabobo, Venezuela",,,,,,,,,,,,
"Hwanghae-bukto [Hwanghaipukto], North Korea",,,,,,,,,,,,
"Gaziantep, Turkey",,,,,,,,,,,,
"Sachsen-Anhalt, Germany",,,,,,,,,,,,
"Thiès, Senegal",,,,,,,,,,,,
"Alborz, Iran",,,,,,,,,,,,
"Northern, Ghana",,,,,,,,,,,,
"Hamadān, Iran",,,,,,,,,,,,
"Cần Thơ, Vietnam",,,,,,,,,,,,
"An Giang, Vietnam",,,,,,,,,,,,
"Cabo Delgado, Mozambique",,,,,,,,,,,,
"Kilimanjaro, Tanzania",,,,,,,,,,,,
"Querétaro, Mexico",,,,,,,,,,,,
"Yucatán, Mexico",,,,,,,,,,,,
"Chungcheongnam-do, South Korea",,,,,,,,,,,,
"Manicaland, Zimbabwe",,,,,,,,,,,,
"Gīlān, Iran",,,,,,,,,,,,
"Podkarpackie, Poland",,,,,,,,,,,,
"Leningradskaya oblast', Russia",,,,,,,,,,,,
"Türkistan oblysy, Kazakhstan",,,,,,,,,,,,
"Chiang Mai, Thailand",,,,,,,,,,,,
"Kedah, Malaysia",,,,,,,,,,,,
"Federacija Bosne i Hercegovine, Bosnia and Herzegovina",,,,,,,,,,,,
"Canarias, Spain",,,,,,,,,,,,
"Lubelskie, Poland",,,,,,,,,,,,
"As Sulaymānīyah, Iraq",,,,,,,,,,,,
"Gelderland, Netherlands",,,,,,,,,,,,
"Niassa, Mozambique",,,,,,,,,,,,
"New Mexico, USA",0.06857937408681046,,0.23687449214597922,,0.17328476897797773,,0.19759681345010682,,0.20340519378808844,,0.12025935755103732,
"Şanlıurfa, Turkey",,,,,,,,,,,,
"Mbeya, Tanzania",,,,,,,,,,,,
"Artibonite, Haiti",,,,,,,,,,,,
"Dhamār, Yemen",,,,,,,,,,,,
"Gandaki, Nepal",,,,,,,,,,,,
"Kujawsko-pomorskie, Poland",,,,,,,,,,,,
"Cochabamba, Bolivia",,,,,,,,,,,,
"Luhanska oblast, Ukraine",,,,,,,,,,,,
"Nagano, Japan",,,,,,,,,,,,
"Leyte, Philippines",,,,,,,,,,,,
"Francisco Morazán, Honduras",,,,,,,,,,,,
"Cuanza-Sul, Angola",,,,,,,,,,,,
"Thüringen, Germany",,,,,,,,,,,,
"La Habana, Cuba",,,,,,,,,,,,
"Huambo, Angola",,,,,,,,,,,,
"Tipaza, Algeria",,,,,,,,,,,,
"Āsīr, Saudi Arabia",,,,,,,,,,,,
"Sabaragamuva paḷāta, Sri Lanka",,,,,,,,,,,,
"País Vasco, Spain",,,,,,,,,,,,
"Gihu, Japan",,,,,,,,,,,,
"Kakamega, Kenya",,,,,,,,,,,,
"Castilla-La Mancha, Spain",,,,,,,,,,,,
"Mendoza, Argentina",,,,,,,,,,,,
"Harare, Zimbabwe",,,,,,,,,,,,
"Āfar, Ethiopia",,,,,,,,,,,,
"Mashonaland West, Zimbabwe",,,,,,,,,,,,
"Mont-Liban, Lebanon",,,,,,,,,,,,
"Horad Minsk, Belarus",,,,,,,,,,,,
"Kachin, Myanmar",,,,,,,,,,,,
"Distrito Federal, Venezuela",,,,,,,,,,,,
"Kassalā, Sudan",,,,,,,,,,,,
"Morelos, Mexico",,,,,,,,,,,,
"Cortés, Honduras",,,,,,,,,,,,
"Shinyanga, Tanzania",,,,,,,,,,,,
"Maluku, Indonesia",,,,,,,,,,,,
"Savanes, Ivory Coast",,,,,,,,,,,,
"Nāgāland, India",,,,,,,,,,,,
"Mon, Myanmar",,,,,,,,,,,,
"La Libertad, Peru",,,,,,,,,,,,
"West, Cameroon",,,,,,,,,,,,
"Midlands, Zimbabwe",,,,,,,,,,,,
"Est, Burkina Faso",,,,,,,,,,,,
"Nebraska, USA",0.0644500584171989,,0.21777061512288162,,0.17273402750732614,,0.19855699264148302,,0.2105217578453334,,0.13596654846577705,
"Durango, Mexico",,,,,,,,,,,,
"Hatay, Turkey",,,,,,,,,,,,
"Hukusima, Japan",,,,,,,,,,,,
"Piura, Peru",,,,,,,,,,,,
"Simiyu, Tanzania",,,,,,,,,,,,
"Wien, Austria",,,,,,,,,,,,
"Az Zarqā’, Jordan",,,,,,,,,,,,
"North-West, Cameroon",,,,,,,,,,,,
"Buxoro, Uzbekistan",,,,,,,,,,,,
"Vojvodina, Serbia",,,,,,,,,,,,
"Kiambu, Kenya",,,,,,,,,,,,
"Shabeellaha Hoose, Somalia",,,,,,,,,,,,
"Northern Ireland, United Kingdom",,,,,,,,,,,,
"Orenburgskaya oblast', Russia",,,,,,,,,,,,
"Rakhine, Myanmar",,,,,,,,,,,,
"Boucle du Mouhoun, Burkina Faso",,,,,,,,,,,,
"Équateur, Democratic Republic of the Congo",,,,,,,,,,,,
"Phnom Penh [Phnum Pénh], Cambodia",,,,,,,,,,,,
"Primorskiy kray, Russia",,,,,,,,,,,,
"Avtonomna Respublika Krym, Ukraine",,,,,,,,,,,,
"Dimashq, Syria",,,,,,,,,,,,
"Okayama, Japan",,,,,,,,,,,,
"Woqooyi Galbeed, Somalia",,,,,,,,,,,,
"Misamis Oriental, Philippines",,,,,,,,,,,,
"Totigi, Japan",,,,,,,,,,,,
"South-West, Cameroon",,,,,,,,,,,,
"Beograd, Serbia",,,,,,,,,,,,
"Bengkulu, Indonesia",,,,,,,,,,,,
"Singida, Tanzania",,,,,,,,,,,,
"Gôh-Djiboua, Ivory Coast",,,,,,,,,,,,
"Hải Phòng, Vietnam",,,,,,,,,,,,
"Volta, Ghana",,,,,,,,,,,,
"Vakinankaratra, Madagascar",,,,,,,,,,,,
"Diyālá, Iraq",,,,,,,,,,,,
"Western Area, Sierra Leone",,,,,,,,,,,,
"Isabela, Philippines",,,,,,,,,,,,
"Hovedstaden, Denmark",,,,,,,,,,,,
"Gunma, Japan",,,,,,,,,,,,
"Gharb Kurdufān, Sudan",,,,,,,,,,,,
"Omskaya oblast', Russia",,,,,,,,,,,,
"Masvingo, Zimbabwe",,,,,,,,,,,,
"Chernihivska oblast, Ukraine",,,,,,,,,,,,
"Bucureşti, Romania",,,,,,,,,,,,
"Manyara, Tanzania",,,,,,,,,,,,
"Nzérékoré, Guinea",,,,,,,,,,,,
"Lorestān, Iran",,,,,,,,,,,,
"Sinnār, Sudan",,,,,,,,,,,,
"Tiền Giang, Vietnam",,,,,,,,,,,,
"Vatovavy-Fitovinany, Madagascar",,,,,,,,,,,,
"Thái Bình, Vietnam",,,,,,,,,,,,
"Córdoba, Colombia",,,,,,,,,,,,
"Long An, Vietnam",,,,,,,,,,,,
"Oran, Algeria",,,,,,,,,,,,
"Kiến Giang, Vietnam",,,,,,,,,,,,
"Irbid, Jordan",,,,,,,,,,,,
"Mersin, Turkey",,,,,,,,,,,,
"Kocaeli, Turkey",,,,,,,,,,,,
"Kentrikí Makedonía, Greece",,,,,,,,,,,,
"Valparaíso, Chile",,,,,,,,,,,,
"Xorazm, Uzbekistan",,,,,,,,,,,,
"Diourbel, Senegal",,,,,,,,,,,,
"Al Qādisīyah, Iraq",,,,,,,,,,,,
"Idaho, USA",0.060210850306659514,,0.22068792686312932,,0.1765052988573194,,0.19681643526197662,,0.212555965195735,,0.13322352351518,
"Nam Ðịnh, Vietnam",,,,,,,,,,,,
"Pwani, Tanzania",,,,,,,,,,,,
"Montserrado, Liberia",,,,,,,,,,,,
"Porto, Portugal",,,,,,,,,,,,
"Southern, Sierra Leone",,,,,,,,,,,,
"Ash Shāriqah, United Arab Emirates",,,,,,,,,,,,
"Balkh, Afghanistan",,,,,,,,,,,,
"Pathum Thani, Thailand",,,,,,,,,,,,
"Qoraqalpog'iston Respublikasi, Uzbekistan",,,,,,,,,,,,
"Ḩimş, Syria",,,,,,,,,,,,
"Nonthaburi, Thailand",,,,,,,,,,,,
"Hamburg, Germany",,,,,,,,,,,,
"Sétif, Algeria",,,,,,,,,,,,
"Diyarbakır, Turkey",,,,,,,,,,,,
"Kwango, Democratic Republic of the Congo",,,,,,,,,,,,
"Calabria, Italy",,,,,,,,,,,,
"Lara, Venezuela",,,,,,,,,,,,
"West Virginia, USA",0.07836957865185469,,0.2638279725014182,,0.19086998026760107,,0.1764746134579224,,0.18297153944622593,,0.10748631567497764,
"South Australia, Australia",,,,,,,,,,,,
"Kumamoto, Japan",,,,,,,,,,,,
"Songkhla, Thailand",,,,,,,,,,,,
"Budapest, Hungary",,,,,,,,,,,,
"Mashonaland East, Zimbabwe",,,,,,,,,,,,
"Mongala, Democratic Republic of the Congo",,,,,,,,,,,,
"Ruvuma, Tanzania",,,,,,,,,,,,
"Khon Kaen, Thailand",,,,,,,,,,,,
"Kermānshāh, Iran",,,,,,,,,,,,
"Markazī, Iran",,,,,,,,,,,,
"Hormozgān, Iran",,,,,,,,,,,,
"Jeollabuk-do, South Korea",,,,,,,,,,,,
"Bukidnon, Philippines",,,,,,,,,,,,
"Auckland, New Zealand",,,,,,,,,,,,
"Drâa-Tafilalet, Morocco",,,,,,,,,,,,
"Hải Dương, Vietnam",,,,,,,,,,,,
"Biobío, Chile",,,,,,,,,,,,
"Atsimo-Andrefana, Madagascar",,,,,,,,,,,,
"Golestān, Iran",,,,,,,,,,,,
"Bình Dương, Vietnam",,,,,,,,,,,,
"Arunāchal Pradesh, India",,,,,,,,,,,,
"Al Qaḑārif, Sudan",,,,,,,,,,,,
"Rondônia, Brazil",,,,,,,,,,,,
"Central, Zambia",,,,,,,,,,,,
"Eastern, Sierra Leone",,,,,,,,,,,,
"Pulau Pinang, Malaysia",,,,,,,,,,,,
"Kayin, Myanmar",,,,,,,,,,,,
"Jeollanam-do, South Korea",,,,,,,,,,,,
"Kandahār, Afghanistan",,,,,,,,,,,,
"Zachodniopomorskie, Poland",,,,,,,,,,,,
"Djelfa, Algeria",,,,,,,,,,,,
"Västra Götalands län, Sweden",,,,,,,,,,,,
"Zaporizka oblast, Ukraine",,,,,,,,,,,,
"Zacatecas, Mexico",,,,,,,,,,,,
"Mie, Japan",,,,,,,,,,,,
"Manisa, Turkey",,,,,,,,,,,,
"Masqaţ, Oman",,,,,,,,,,,,
"Centre-Nord, Burkina Faso",,,,,,,,,,,,
"Bungoma, Kenya",,,,,,,,,,,,
"Aragua, Venezuela",,,,,,,,,,,,
"Littoral, Benin",,,,,,,,,,,,
"Tucumán, Argentina",,,,,,,,,,,,
"Kampala, Uganda",,,,,,,,,,,,
"Niederösterreich, Austria",,,,,,,,,,,,
"Adana, Turkey",,,,,,,,,,,,
"Centre-Ouest, Burkina Faso",,,,,,,,,,,,
"Bié, Angola",,,,,,,,,,,,
"Panamá, Panama",,,,,,,,,,,,
"Kirkūk, Iraq",,,,,,,,,,,,
"Kyivska oblast, Ukraine",,,,,,,,,,,,
"Ubon Ratchathani, Thailand",,,,,,,,,,,,
"San Salvador, El Salvador",,,,,,,,,,,,
"Vallée du Bandama, Ivory Coast",,,,,,,,,,,,
"Nariño, Colombia",,,,,,,,,,,,
"Daejeon-gwangyeoksi, South Korea",,,,,,,,,,,,
"Pahang, Malaysia",,,,,,,,,,,,
"Ðồng Tháp, Vietnam",,,,,,,,,,,,
"Borgou, Benin",,,,,,,,,,,,
"Lagunes, Ivory Coast",,,,,,,,,,,,
"Kosovo-Metohija, Serbia",,,,,,,,,,,,
"Uusimaa, Finland",,,,,,,,,,,,
"Quintana Roo, Mexico",,,,,,,,,,,,
"Haut-Uélé, Democratic Republic of the Congo",,,,,,,,,,,,
"Northern, Zambia",,,,,,,,,,,,
"Cibao Nord, Dominican Republic",,,,,,,,,,,,
"San José, Costa Rica",,,,,,,,,,,,
"Belgorodskaya oblast', Russia",,,,,,,,,,,,
"Brazzaville, Congo",,,,,,,,,,,,
"Khanty-Mansiyskiy avtonomnyy okrug, Russia",,,,,,,,,,,,
"Kangwon-do [Kangweonto], North Korea",,,,,,,,,,,,
"Ḩaḑramawt, Yemen",,,,,,,,,,,,
"Chungcheongbuk-do, South Korea",,,,,,,,,,,,
"Kagosima, Japan",,,,,,,,,,,,
"Ardabīl, Iran",,,,,,,,,,,,
"Luapula, Zambia",,,,,,,,,,,,
"Sofia, Madagascar",,,,,,,,,,,,
"Manabí, Ecuador",,,,,,,,,,,,
"Puducherry, India",,,,,,,,,,,,
"Ulaanbaatar, Mongolia",,,,,,,,,,,,
"An Najaf, Iraq",,,,,,,,,,,,
"Meru, Kenya",,,,,,,,,,,,
"Tocantins, Brazil",,,,,,,,,,,,
"Managua, Nicaragua",,,,,,,,,,,,
"Kelantan, Malaysia",,,,,,,,,,,,
"Nahr an Nīl, Sudan",,,,,,,,,,,,
"Songwe, Tanzania",,,,,,,,,,,,
"Næ̆gĕnahira paḷāta, Sri Lanka",,,,,,,,,,,,
"Fāryāb, Afghanistan",,,,,,,,,,,,
"Dumyāţ, Egypt",,,,,,,,,,,,
"Kepulauan Bangka Belitung, Indonesia",,,,,,,,,,,,
"Gangwon-do, South Korea",,,,,,,,,,,,
"Mtwara, Tanzania",,,,,,,,,,,,
"Tyumenskaya oblast', Russia",,,,,,,,,,,,
"Goa, India",,,,,,,,,,,,
"Vinnytska oblast, Ukraine",,,,,,,,,,,,
"Cajamarca, Peru",,,,,,,,,,,,
"Nord, Burkina Faso",,,,,,,,,,,,
"Mecklenburg-Vorpommern, Germany",,,,,,,,,,,,
"Sardegna, Italy",,,,,,,,,,,,
"Negros Oriental, Philippines",,,,,,,,,,,,
"Bolívar, Venezuela",,,,,,,,,,,,
"Badakhshān, Afghanistan",,,,,,,,,,,,
"Gia Lai, Vietnam",,,,,,,,,,,,
"Murcia, Región de, Spain",,,,,,,,,,,,
"Chagang-do [Jakangto], North Korea",,,,,,,,,,,,
"Bắc Giang, Vietnam",,,,,,,,,,,,
"South Cotabato, Philippines",,,,,,,,,,,,
"Inhambane, Mozambique",,,,,,,,,,,,
"Anzoátegui, Venezuela",,,,,,,,,,,,
"Gaza, Mozambique",,,,,,,,,,,,
"Sulawesi Barat, Indonesia",,,,,,,,,,,,
"Samsun, Turkey",,,,,,,,,,,,
"Junín, Peru",,,,,,,,,,,,
"Liguria, Italy",,,,,,,,,,,,
"Warmińsko-mazurskie, Poland",,,,,,,,,,,,
"Marche, Italy",,,,,,,,,,,,
"Bình Định, Vietnam",,,,,,,,,,,,
"Maluku Utara, Indonesia",,,,,,,,,,,,
"Siga, Japan",,,,,,,,,,,,
"Takhār, Afghanistan",,,,,,,,,,,,
"Mashonaland Central, Zimbabwe",,,,,,,,,,,,
"Tel-Aviv, Israel",,,,,,,,,,,,
"Puno, Peru",,,,,,,,,,,,
"Baat Dambang [Batdâmbâng], Cambodia",,,,,,,,,,,,
"Zürich, Switzerland",,,,,,,,,,,,
"Chechenskaya Respublika, Russia",,,,,,,,,,,,
"Homieĺskaja voblasć, Belarus",,,,,,,,,,,,
"Davao del Norte, Philippines",,,,,,,,,,,,
"Tanintharyi, Myanmar",,,,,,,,,,,,
"Udmurtskaya Respublika, Russia",,,,,,,,,,,,
"Madīnat Injamīnā, Chad",,,,,,,,,,,,
"Wajir, Kenya",,,,,,,,,,,,
"Středočeský kraj, Czech Republic",,,,,,,,,,,,
"Wāsiţ, Iraq",,,,,,,,,,,,
"Oberösterreich, Austria",,,,,,,,,,,,
"Idlib, Syria",,,,,,,,,,,,
"Kandaal [Kândal], Cambodia",,,,,,,,,,,,
"Okinawa, Japan",,,,,,,,,,,,
"Albay, Philippines",,,,,,,,,,,,
"Sahel, Burkina Faso",,,,,,,,,,,,
"Hawaii, USA",0.07783954016153777,,0.23466027640359535,,0.18207404751371786,,0.20746053305785836,,0.17774997967488468,,0.12021562318840605,
"Lacs, Ivory Coast",,,,,,,,,,,,
"Kayseri, Turkey",,,,,,,,,,,,
"Quảng Nam, Vietnam",,,,,,,,,,,,
"Atsinanana, Madagascar",,,,,,,,,,,,
"Al Ismā‘īlīyah, Egypt",,,,,,,,,,,,
"Bresckaja voblasć, Belarus",,,,,,,,,,,,
"Cunene, Angola",,,,,,,,,,,,
"Tunis, Tunisia",,,,,,,,,,,,
"Arequipa, Peru",,,,,,,,,,,,
"Karbalā’, Iraq",,,,,,,,,,,,
"Garissa, Kenya",,,,,,,,,,,,
"Malange, Angola",,,,,,,,,,,,
"HaTsafon, Israel",,,,,,,,,,,,
"Chon Buri, Thailand",,,,,,,,,,,,
"Tarlac, Philippines",,,,,,,,,,,,
"Al Ḩasakah, Syria",,,,,,,,,,,,
"Jāzān, Saudi Arabia",,,,,,,,,,,,
"Gwangju-gwangyeoksi, South Korea",,,,,,,,,,,,
"Skåne län, Sweden",,,,,,,,,,,,
"Salta, Argentina",,,,,,,,,,,,
"Plateaux, Togo",,,,,,,,,,,,
"'Amrān, Yemen",,,,,,,,,,,,
"Northern, Sierra Leone",,,,,,,,,,,,
"Bohol, Philippines",,,,,,,,,,,,
"Shyghys Qazaqstan oblysy, Kazakhstan",,,,,,,,,,,,
"Rukwa, Tanzania",,,,,,,,,,,,
"Lâm Ðồng, Vietnam",,,,,,,,,,,,
"Sofia (stolitsa), Bulgaria",,,,,,,,,,,,
"Yamaguti, Japan",,,,,,,,,,,,
"Alta Verapaz, Guatemala",,,,,,,,,,,,
"Sóc Trăng, Vietnam",,,,,,,,,,,,
"Qaraghandy oblysy, Kazakhstan",,,,,,,,,,,,
"Balıkesir, Turkey",,,,,,,,,,,,
"Nayarit, Mexico",,,,,,,,,,,,
"Batna, Algeria",,,,,,,,,,,,
"Tul'skaya oblast', Russia",,,,,,,,,,,,
"Aguascalientes, Mexico",,,,,,,,,,,,
"Mary, Turkmenistan",,,,,,,,,,,,
"Al Uqşur, Egypt",,,,,,,,,,,,
"Moxico, Angola",,,,,,,,,,,,
"Ghaznī, Afghanistan",,,,,,,,,,,,
"Ivano-Frankivska oblast, Ukraine",,,,,,,,,,,,
"Mombasa, Kenya",,,,,,,,,,,,
"Cauca, Colombia",,,,,,,,,,,,
"New Hampshire, USA",0.06996416837473705,,0.27010818728334357,,0.1946698844219241,,0.1838870599955958,,0.18496914613146762,,0.09640155379293187,
"Poltavska oblast, Ukraine",,,,,,,,,,,,
"Kisii, Kenya",,,,,,,,,,,,
"Nakhon Si Thammarat, Thailand",,,,,,,,,,,,
"North Western, Sierra Leone",,,,,,,,,,,,
"Uturumæ̆da paḷāta, Sri Lanka",,,,,,,,,,,,
"Entre Ríos, Argentina",,,,,,,,,,,,
"Maine, USA",0.0807321742552377,,0.28419099438433837,,0.188269761557715,,0.17993579543926583,,0.16851337040398964,,0.09835790395945354,
"Huehuetenango, Guatemala",,,,,,,,,,,,
"Ehime, Japan",,,,,,,,,,,,
"Cagayan, Philippines",,,,,,,,,,,,
"Aragón, Spain",,,,,,,,,,,,
"Tlaxcala, Mexico",,,,,,,,,,,,
"Almaty, Kazakhstan",,,,,,,,,,,,
"Kilifi, Kenya",,,,,,,,,,,,
"Penzenskaya oblast', Russia",,,,,,,,,,,,
"Cotabato, Philippines",,,,,,,,,,,,
"Msila, Algeria",,,,,,,,,,,,
"Nuwākshūţ, Mauritania",,,,,,,,,,,,
"Manitoba, Canada",,0.07145333169329879,,0.22761818500337175,,0.18100019754964033,,0.2030288459746465,,0.19263698949259578,,0.12426245028644696
"Boké, Guinea",,,,,,,,,,,,
"Palawan, Philippines",,,,,,,,,,,,
"Van, Turkey",,,,,,,,,,,,
"Comoé, Ivory Coast",,,,,,,,,,,,
"Tây Ninh, Vietnam",,,,,,,,,,,,
"Praha, Hlavní město, Czech Republic",,,,,,,,,,,,
"Cusco, Peru",,,,,,,,,,,,
"Midtjylland, Denmark",,,,,,,,,,,,
"Nagasaki, Japan",,,,,,,,,,,,
"Misiones, Argentina",,,,,,,,,,,,
"Atsimo-Atsinanana, Madagascar",,,,,,,,,,,,
"Al Qaşīm, Saudi Arabia",,,,,,,,,,,,
"Blida, Algeria",,,,,,,,,,,,
"Tolima, Colombia",,,,,,,,,,,,
"Khabarovskiy kray, Russia",,,,,,,,,,,,
"Mai-Ndombe, Democratic Republic of the Congo",,,,,,,,,,,,
"Boumerdès, Algeria",,,,,,,,,,,,
"Ūva paḷāta, Sri Lanka",,,,,,,,,,,,
"Northern Cape, South Africa",,,,,,,,,,,,
"Chlef, Algeria",,,,,,,,,,,,
"Jonglei, South Sudan",,,,,,,,,,,,
"Mzimba, Malawi",,,,,,,,,,,,
"Bīnshangul Gumuz, Ethiopia",,,,,,,,,,,,
"Minskaja voblasć, Belarus",,,,,,,,,,,,
"Quảng Ngãi, Vietnam",,,,,,,,,,,,
"Helmand, Afghanistan",,,,,,,,,,,,
"Lambayeque, Peru",,,,,,,,,,,,
"North East, Singapore",,,,,,,,,,,,
"Montevideo, Uruguay",,,,,,,,,,,,
"Gorontalo, Indonesia",,,,,,,,,,,,
"Mizoram, India",,,,,,,,,,,,
"Vladimirskaya oblast', Russia",,,,,,,,,,,,
"Jizzax, Uzbekistan",,,,,,,,,,,,
"Utrecht, Netherlands",,,,,,,,,,,,
"Bến Tre, Vietnam",,,,,,,,,,,,
"Norte de Santander, Colombia",,,,,,,,,,,,
"Shymkent, Kazakhstan",,,,,,,,,,,,
