longname,Not Cohabiting With Partner %,Cohabiting With Partner (Gay) %,Cohabiting With Partner (Straight) %,Living With Parents %,Other Living Situation %,Never Married %,Never Married % [StatCan],Married (not divorced) %,Married (not divorced) % [StatCan],Divorced %,Divorced % [StatCan]
"Cà Mau, Vietnam",,,,,,,,,,,
"Bình Phước, Vietnam",,,,,,,,,,,
"Maysān, Iraq",,,,,,,,,,,
"Şan‘ā’, Yemen",,,,,,,,,,,
"Hưng Yên, Vietnam",,,,,,,,,,,
"Abruzzo, Italy",,,,,,,,,,,
"North West, Singapore",,,,,,,,,,,
"Aomori, Japan",,,,,,,,,,,
"Savanes, Togo",,,,,,,,,,,
"Machakos, Kenya",,,,,,,,,,,
"Karnali, Nepal",,,,,,,,,,,
"Cabinda, Angola",,,,,,,,,,,
"Zakarpatska oblast, Ukraine",,,,,,,,,,,
"Steiermark, Austria",,,,,,,,,,,
"Ul'yanovskaya oblast', Russia",,,,,,,,,,,
"Iwate, Japan",,,,,,,,,,,
"Viciebskaja voblasć, Belarus",,,,,,,,,,,
"Tverskaya oblast', Russia",,,,,,,,,,,
"Dayr az Zawr, Syria",,,,,,,,,,,
"Baghlān, Afghanistan",,,,,,,,,,,
"Khmelnytska oblast, Ukraine",,,,,,,,,,,
"Quiché, Guatemala",,,,,,,,,,,
"Lebap, Turkmenistan",,,,,,,,,,,
"Świętokrzyskie, Poland",,,,,,,,,,,
"Lanao del Norte, Philippines",,,,,,,,,,,
"Yaroslavskaya oblast', Russia",,,,,,,,,,,
"Syddanmark, Denmark",,,,,,,,,,,
"Bà Rịa - Vũng Tàu, Vietnam",,,,,,,,,,,
"Bruxelles-Capitale: Région de, Belgium",,,,,,,,,,,
"HaDarom, Israel",,,,,,,,,,,
"An Nīl al Azraq, Sudan",,,,,,,,,,,
"Central, Paraguay",,,,,,,,,,,
"Alibori, Benin",,,,,,,,,,,
"Bình Thuận, Vietnam",,,,,,,,,,,
"Wādī Fīrā’, Chad",,,,,,,,,,,
"Nord-Ubangi, Democratic Republic of the Congo",,,,,,,,,,,
"Friuli Venezia Giulia, Italy",,,,,,,,,,,
"South West, Singapore",,,,,,,,,,,
"Hà Tĩnh, Vietnam",,,,,,,,,,,
"Nord, Haiti",,,,,,,,,,,
"Kahramanmaraş, Turkey",,,,,,,,,,,
"Khánh Hòa, Vietnam",,,,,,,,,,,
"Papua Barat, Indonesia",,,,,,,,,,,
"Viken, Norway",,,,,,,,,,,
"Central Equatoria, South Sudan",,,,,,,,,,,
"Labé, Guinea",,,,,,,,,,,
"El Callao, Peru",,,,,,,,,,,
"San Marcos, Guatemala",,,,,,,,,,,
"Analanjirofo, Madagascar",,,,,,,,,,,
"Zhytomyrska oblast, Ukraine",,,,,,,,,,,
"Táchira, Venezuela",,,,,,,,,,,
"Mangochi, Malawi",,,,,,,,,,,
"Pest, Hungary",,,,,,,,,,,
"Illes Balears, Spain",,,,,,,,,,,
"Bryanskaya oblast', Russia",,,,,,,,,,,
"Kisumu, Kenya",,,,,,,,,,,
"Boeny, Madagascar",,,,,,,,,,,
"Cherkaska oblast, Ukraine",,,,,,,,,,,
"Faranah, Guinea",,,,,,,,,,,
"Buri Ram, Thailand",,,,,,,,,,,
"Quảng Ninh, Vietnam",,,,,,,,,,,
"Podlaskie, Poland",,,,,,,,,,,
"Zamboanga del Sur, Philippines",,,,,,,,,,,
"Chaco, Argentina",,,,,,,,,,,
"Overijssel, Netherlands",,,,,,,,,,,
"Zamboanga del Norte, Philippines",,,,,,,,,,,
"Waddāy, Chad",,,,,,,,,,,
"Chuvashskaya Respublika, Russia",,,,,,,,,,,
"Laḩij, Yemen",,,,,,,,,,,
"Tlemcen, Algeria",,,,,,,,,,,
"Bishkek Shaary, Kyrgyzstan",,,,,,,,,,,
"Haute-Matsiatra, Madagascar",,,,,,,,,,,
"Jihomoravský kraj, Czech Republic",,,,,,,,,,,
"Vĩnh Long, Vietnam",,,,,,,,,,,
"Kirovskaya oblast', Russia",,,,,,,,,,,
"Ouémé, Benin",,,,,,,,,,,
"Kunduz, Afghanistan",,,,,,,,,,,
"Boyacá, Colombia",,,,,,,,,,,
"Maputo (Province), Mozambique",,,,,,,,,,,
"Bas-Uélé, Democratic Republic of the Congo",,,,,,,,,,,
"Kitui, Kenya",,,,,,,,,,,
"Valdesia, Dominican Republic",,,,,,,,,,,
"Isikawa, Japan",,,,,,,,,,,
"Narok, Kenya",,,,,,,,,,,
"Bangui, Central African Republic",,,,,,,,,,,
"Rivnenska oblast, Ukraine",,,,,,,,,,,
"Osh, Kyrgyzstan",,,,,,,,,,,
"Ôita, Japan",,,,,,,,,,,
"Samut Sakhon, Thailand",,,,,,,,,,,
"Aydin, Turkey",,,,,,,,,,,
"Iringa, Tanzania",,,,,,,,,,,
"Huila, Colombia",,,,,,,,,,,
"Moravskoslezský kraj, Czech Republic",,,,,,,,,,,
"Shabeellaha Dhexe, Somalia",,,,,,,,,,,
"Pool, Congo",,,,,,,,,,,
"Lūghūn ash Sharqī, Chad",,,,,,,,,,,
"Alaotra Mangoro, Madagascar",,,,,,,,,,,
"Tekirdağ, Turkey",,,,,,,,,,,
"Maule, Chile",,,,,,,,,,,
"Siem Reab [Siĕmréab], Cambodia",,,,,,,,,,,
"Lipetskaya oblast', Russia",,,,,,,,,,,
"Western, Zambia",,,,,,,,,,,
"Thái Nguyên, Vietnam",,,,,,,,,,,
"Cesar, Colombia",,,,,,,,,,,
"Homa Bay, Kenya",,,,,,,,,,,
"Mykolaivska oblast, Ukraine",,,,,,,,,,,
"Masbate, Philippines",,,,,,,,,,,
"Saskatchewan, Canada",,,,,,,0.3568709576176502,,0.5471221964591395,,0.09600684592321039
"Būshehr, Iran",,,,,,,,,,,
"Tizi Ouzou, Algeria",,,,,,,,,,,
"Kericho, Kenya",,,,,,,,,,,
"Alajuela, Costa Rica",,,,,,,,,,,
"Skikda, Algeria",,,,,,,,,,,
"Đà Nẵng, Vietnam",,,,,,,,,,,
"Bono, Ghana",,,,,,,,,,,
"Ancash, Peru",,,,,,,,,,,
"Upper East, Ghana",,,,,,,,,,,
"Central Singapore, Singapore",,,,,,,,,,,
"Sơn La, Vietnam",,,,,,,,,,,
"Androy, Madagascar",,,,,,,,,,,
"Zhambyl oblysy, Kazakhstan",,,,,,,,,,,
"Saint-Louis, Senegal",,,,,,,,,,,
"Terengganu, Malaysia",,,,,,,,,,,
"Corrientes, Argentina",,,,,,,,,,,
"Trans Nzoia, Kenya",,,,,,,,,,,
"Qazvīn, Iran",,,,,,,,,,,
"Bắc Ninh, Vietnam",,,,,,,,,,,
"Turkana, Kenya",,,,,,,,,,,
"'Adan, Yemen",,,,,,,,,,,
"Ryazanskaya oblast', Russia",,,,,,,,,,,
"Limburg, Netherlands",,,,,,,,,,,
"Tiaret, Algeria",,,,,,,,,,,
"Zabaykal'skiy kray, Russia",,,,,,,,,,,
"Migori, Kenya",,,,,,,,,,,
"Miyazaki, Japan",,,,,,,,,,,
"Loreto, Peru",,,,,,,,,,,
"Vologodskaya oblast', Russia",,,,,,,,,,,
"Yamagata, Japan",,,,,,,,,,,
"Rhode Island, USA",0.18696074585659087,0.006701471967813598,0.40102260439522264,0.30036200875716423,0.10495316902320871,0.37563278784096626,,0.514273144237448,,0.1100940679215858,
"Constantine, Algeria",,,,,,,,,,,
"Sava, Madagascar",,,,,,,,,,,
"Māyū Kībbī ash Sharqī, Chad",,,,,,,,,,,
"Ḩawallī, Kuwait",,,,,,,,,,,
"Bono East, Ghana",,,,,,,,,,,
"Şā‘dah, Yemen",,,,,,,,,,,
"Thừa Thiên-Huế, Vietnam",,,,,,,,,,,
"Montana, USA",0.17835336157138323,0.0038553662505172105,0.4492522110840848,0.28207904057411504,0.08646002051989986,0.29320752286923774,,0.580486046855814,,0.12630643027494834,
"Kurskaya oblast', Russia",,,,,,,,,,,
"La Guajira, Colombia",,,,,,,,,,,
"Uíge, Angola",,,,,,,,,,,
"Makueni, Kenya",,,,,,,,,,,
"La Araucanía, Chile",,,,,,,,,,,
"Louga, Senegal",,,,,,,,,,,
"Diana, Madagascar",,,,,,,,,,,
"Denizli, Turkey",,,,,,,,,,,
"Negeri Sembilan, Malaysia",,,,,,,,,,,
"Sfax, Tunisia",,,,,,,,,,,
"Los Lagos, Chile",,,,,,,,,,,
"Republika Srpska, Bosnia and Herzegovina",,,,,,,,,,,
"Viangchan, Laos",,,,,,,,,,,
"Santiago de Cuba, Cuba",,,,,,,,,,,
"Sakarya, Turkey",,,,,,,,,,,
"Qom, Iran",,,,,,,,,,,
"Mahilioŭskaja voblasć, Belarus",,,,,,,,,,,
"Ulsan-gwangyeoksi, South Korea",,,,,,,,,,,
"Arkhangel'skaya oblast', Russia",,,,,,,,,,,
"Sultan Kudarat, Philippines",,,,,,,,,,,
"Al Lādhiqīyah, Syria",,,,,,,,,,,
"Kaolack, Senegal",,,,,,,,,,,
"Ghōr, Afghanistan",,,,,,,,,,,
"Maguindanao, Philippines",,,,,,,,,,,
"Sumska oblast, Ukraine",,,,,,,,,,,
"Hrodzienskaja voblasć, Belarus",,,,,,,,,,,
"Zanzan, Ivory Coast",,,,,,,,,,,
"Savannakhét, Laos",,,,,,,,,,,
"Muğla, Turkey",,,,,,,,,,,
"Toyama, Japan",,,,,,,,,,,
"Ternopilska oblast, Ukraine",,,,,,,,,,,
"Kaluzhskaya oblast', Russia",,,,,,,,,,,
"Khōst, Afghanistan",,,,,,,,,,,
"Trentino-Alto Adige, Italy",,,,,,,,,,,
"Holguín, Cuba",,,,,,,,,,,
"Thessalía, Greece",,,,,,,,,,,
"Lindi, Tanzania",,,,,,,,,,,
"Roi Et, Thailand",,,,,,,,,,,
"Tambovskaya oblast', Russia",,,,,,,,,,,
"Murang'a, Kenya",,,,,,,,,,,
"Lubuskie, Poland",,,,,,,,,,,
"Udon Thani, Thailand",,,,,,,,,,,
"Khersonska oblast, Ukraine",,,,,,,,,,,
"Astrakhanskaya oblast', Russia",,,,,,,,,,,
"Gilgit-Baltistan, Pakistan",,,,,,,,,,,
"Muyinga, Burundi",,,,,,,,,,,
"Darٰā, Syria",,,,,,,,,,,
"Monagas, Venezuela",,,,,,,,,,,
"Bay, Somalia",,,,,,,,,,,
"Chahār Maḩāl va Bakhtīārī, Iran",,,,,,,,,,,
"Surat Thani, Thailand",,,,,,,,,,,
"Lunda-Norte, Angola",,,,,,,,,,,
"Woroba, Ivory Coast",,,,,,,,,,,
"Estuaire, Gabon",,,,,,,,,,,
"Fatick, Senegal",,,,,,,,,,,
"Upper Nile, South Sudan",,,,,,,,,,,
"Tombouctou, Mali",,,,,,,,,,,
"Phú Thọ, Vietnam",,,,,,,,,,,
"Bern, Switzerland",,,,,,,,,,,
"Tomskaya oblast', Russia",,,,,,,,,,,
"Ar Rayyān, Qatar",,,,,,,,,,,
"Cascades, Burkina Faso",,,,,,,,,,,
"Mostaganem, Algeria",,,,,,,,,,,
"Nandi, Kenya",,,,,,,,,,,
"Asturias, Principado de, Spain",,,,,,,,,,,
"Volynska oblast, Ukraine",,,,,,,,,,,
"Chandigarh, India",,,,,,,,,,,
"Mindoro Oriental, Philippines",,,,,,,,,,,
"Nakhon Pathom, Thailand",,,,,,,,,,,
"Lop Buri, Thailand",,,,,,,,,,,
"Yerushalayim, Israel",,,,,,,,,,,
"Uturu paḷāta, Sri Lanka",,,,,,,,,,,
"Bujumbura Mairie, Burundi",,,,,,,,,,,
"Gitega, Burundi",,,,,,,,,,,
"Zou, Benin",,,,,,,,,,,
"Aşgabat, Turkmenistan",,,,,,,,,,,
"Béjaïa, Algeria",,,,,,,,,,,
"Otdar Mean Chey [Ŏtdâr Méan Choăy], Cambodia",,,,,,,,,,,
"Kaliningradskaya oblast', Russia",,,,,,,,,,,
"Libertador General Bernardo O'Higgins, Chile",,,,,,,,,,,
"Saarland, Germany",,,,,,,,,,,
"Santiago del Estero, Argentina",,,,,,,,,,,
"Al Balqā’, Jordan",,,,,,,,,,,
"Tabūk, Saudi Arabia",,,,,,,,,,,
"Delaware, USA",0.1762667961647492,0.009198470826571978,0.41450916122345266,0.306170921565753,0.09385465021947317,0.33618819430794644,,0.554131936533997,,0.10967986915805651,
"Akita, Japan",,,,,,,,,,,
"Biskra, Algeria",,,,,,,,,,,
"South East, Singapore",,,,,,,,,,,
"East, Cameroon",,,,,,,,,,,
"Baja California Sur, Mexico",,,,,,,,,,,
"Lima, Peru",,,,,,,,,,,
"Aïn Defla, Algeria",,,,,,,,,,,
"L'Ariana, Tunisia",,,,,,,,,,,
"Tiranë, Albania",,,,,,,,,,,
"Yazd, Iran",,,,,,,,,,,
"Siaya, Kenya",,,,,,,,,,,
"Extremadura, Spain",,,,,,,,,,,
"Kara, Togo",,,,,,,,,,,
"Kagawa, Japan",,,,,,,,,,,
"Muchinga, Zambia",,,,,,,,,,,
"Kirundo, Burundi",,,,,,,,,,,
"Falcón, Venezuela",,,,,,,,,,,
"Nova Scotia, Canada",,,,,,,0.3609386417654532,,0.5213442173844796,,0.11771714085006714
"Ivanovskaya oblast', Russia",,,,,,,,,,,
"Campeche, Mexico",,,,,,,,,,,
"Phitsanulok, Thailand",,,,,,,,,,,
"Western, The Gambia",,,,,,,,,,,
"Buryatiya, Respublika, Russia",,,,,,,,,,,
"Ninh Bình, Vietnam",,,,,,,,,,,
"Réunion, France",,,,,,,,,,,
"Nay Pyi Taw, Myanmar",,,,,,,,,,,
"Sucre, Venezuela",,,,,,,,,,,
"Mascara, Algeria",,,,,,,,,,,
"Opolskie, Poland",,,,,,,,,,,
"Centre-Sud, Burkina Faso",,,,,,,,,,,
"Ash Shamālīyah, Sudan",,,,,,,,,,,
"Zomba, Malawi",,,,,,,,,,,
"Ad Dawḩah, Qatar",,,,,,,,,,,
"H̱efa, Israel",,,,,,,,,,,
"Al Jafārah, Libya",,,,,,,,,,,
"Trà Vinh, Vietnam",,,,,,,,,,,
"Likouala, Congo",,,,,,,,,,,
"Sakon Nakhon, Thailand",,,,,,,,,,,
"Vĩnh Phúc, Vietnam",,,,,,,,,,,
"Eskişehir, Turkey",,,,,,,,,,,
"Quetzaltenango, Guatemala",,,,,,,,,,,
"Los Ríos, Ecuador",,,,,,,,,,,
"Melaka, Malaysia",,,,,,,,,,,
"San Martín, Peru",,,,,,,,,,,
"Smolenskaya oblast', Russia",,,,,,,,,,,
"Potosí, Bolivia",,,,,,,,,,,
"Banghāzī, Libya",,,,,,,,,,,
"Thyolo, Malawi",,,,,,,,,,,
"Sakha, Respublika, Russia",,,,,,,,,,,
"Plateau Central, Burkina Faso",,,,,,,,,,,
"Nord-Ouest, Haiti",,,,,,,,,,,
"Kasungu, Malawi",,,,,,,,,,,
"Risaralda, Colombia",,,,,,,,,,,
"Zambales, Philippines",,,,,,,,,,,
"Kayanza, Burundi",,,,,,,,,,,
"Dedza, Malawi",,,,,,,,,,,
"Mordoviya, Respublika, Russia",,,,,,,,,,,
"Mubende, Uganda",,,,,,,,,,,
"North-Western, Zambia",,,,,,,,,,,
"Lūghūn al Gharbī, Chad",,,,,,,,,,,
"Navoiy, Uzbekistan",,,,,,,,,,,
"Al Muthanná, Iraq",,,,,,,,,,,
"Benguet, Philippines",,,,,,,,,,,
"Al Bayḑā’, Yemen",,,,,,,,,,,
"Rayong, Thailand",,,,,,,,,,,
"Al Farwānīyah, Kuwait",,,,,,,,,,,
"Toshkent (City), Uzbekistan",,,,,,,,,,,
"Suphan Buri, Thailand",,,,,,,,,,,
"Janūb Kurdufān, Sudan",,,,,,,,,,,
"Zaire, Angola",,,,,,,,,,,
"Barinas, Venezuela",,,,,,,,,,,
"Qāsh-Barkah, Eritrea",,,,,,,,,,,
"Bạc Liêu, Vietnam",,,,,,,,,,,
"Matebeleland North, Zimbabwe",,,,,,,,,,,
"Kirovohradska oblast, Ukraine",,,,,,,,,,,
"Setúbal, Portugal",,,,,,,,,,,
"Meta, Colombia",,,,,,,,,,,
"Al ‘Āşimah, Kuwait",,,,,,,,,,,
"Atacora, Benin",,,,,,,,,,,
"Tbong Khmum [Tbong Khmŭm], Cambodia",,,,,,,,,,,
"Khorāsān-e Shomālī, Iran",,,,,,,,,,,
"Menabe, Madagascar",,,,,,,,,,,
"Portuguesa, Venezuela",,,,,,,,,,,
"Relizane, Algeria",,,,,,,,,,,
"Médéa, Algeria",,,,,,,,,,,
"Busia, Kenya",,,,,,,,,,,
"Zanjān, Iran",,,,,,,,,,,
"Nakhon Sawan, Thailand",,,,,,,,,,,
"Bādghīs, Afghanistan",,,,,,,,,,,
"Phú Yên, Vietnam",,,,,,,,,,,
"Caldas, Colombia",,,,,,,,,,,
"Umbria, Italy",,,,,,,,,,,
"Kwale, Kenya",,,,,,,,,,,
"South, Cameroon",,,,,,,,,,,
"Acre, Brazil",,,,,,,,,,,
"Kalasin, Thailand",,,,,,,,,,,
"Māndūl, Chad",,,,,,,,,,,
"Azuay, Ecuador",,,,,,,,,,,
"Sorsogon, Philippines",,,,,,,,,,,
"Hà Nam, Vietnam",,,,,,,,,,,
"Ouargla, Algeria",,,,,,,,,,,
"Aqtöbe oblysy, Kazakhstan",,,,,,,,,,,
"South Dakota, USA",0.17171872962229687,0.003200326610228077,0.43763275628412196,0.2996932358795043,0.08775495160384877,0.3135628536281898,,0.5780176629714805,,0.10841948340032967,
"Mjini Magharibi, Tanzania",,,,,,,,,,,
"Sud-Ouest, Burkina Faso",,,,,,,,,,,
"Bomet, Kenya",,,,,,,,,,,
"Surin, Thailand",,,,,,,,,,,
"Mardin, Turkey",,,,,,,,,,,
"Aqmola oblysy, Kazakhstan",,,,,,,,,,,
"Wakayama, Japan",,,,,,,,,,,
"Diffa, Niger",,,,,,,,,,,
"Quảng Bình, Vietnam",,,,,,,,,,,
"Parwān, Afghanistan",,,,,,,,,,,
"Samar, Philippines",,,,,,,,,,,
"Huánuco, Peru",,,,,,,,,,,
"Amapá, Brazil",,,,,,,,,,,
"Prey Veaeng [Prey Vêng], Cambodia",,,,,,,,,,,
"Ngozi, Burundi",,,,,,,,,,,
"Jubbada Hoose, Somalia",,,,,,,,,,,
"Njombe, Tanzania",,,,,,,,,,,
"Tambacounda, Senegal",,,,,,,,,,,
"Coquimbo, Chile",,,,,,,,,,,
"Zamboanga City, Philippines",,,,,,,,,,,
"Al ‘Āşimah, Bahrain",,,,,,,,,,,
"Shimālī al Baḩrī al Aḩmar, Eritrea",,,,,,,,,,,
"Nabeul, Tunisia",,,,,,,,,,,
"Kasese, Uganda",,,,,,,,,,,
"Centrale, Togo",,,,,,,,,,,
"Centre, Haiti",,,,,,,,,,,
"Ar Raqqah, Syria",,,,,,,,,,,
"Bouira, Algeria",,,,,,,,,,,
"Alto Paraná, Paraguay",,,,,,,,,,,
"Tānjīlī, Chad",,,,,,,,,,,
"Phra Nakhon Si Ayutthaya, Thailand",,,,,,,,,,,
"La Union, Philippines",,,,,,,,,,,
"Si sa ket, Thailand",,,,,,,,,,,
"Champasak, Laos",,,,,,,,,,,
"Mila, Algeria",,,,,,,,,,,
"Sucre, Colombia",,,,,,,,,,,
"Jijel, Algeria",,,,,,,,,,,
"Kabardino-Balkarskaya Respublika, Russia",,,,,,,,,,,
"Sud, Haiti",,,,,,,,,,,
"Taakaev [Takêv], Cambodia",,,,,,,,,,,
"Qostanay oblysy, Kazakhstan",,,,,,,,,,,
"Granma, Cuba",,,,,,,,,,,
"Petén, Guatemala",,,,,,,,,,,
"Davao de Oro, Philippines",,,,,,,,,,,
"Vilniaus apskritis, Lithuania",,,,,,,,,,,
"Mamou, Guinea",,,,,,,,,,,
"Prešovský kraj, Slovakia",,,,,,,,,,,
"Katavi, Tanzania",,,,,,,,,,,
"Saga, Japan",,,,,,,,,,,
"Paktiyā, Afghanistan",,,,,,,,,,,
"Agusan del Sur, Philippines",,,,,,,,,,,
"Phetchabun, Thailand",,,,,,,,,,,
"Saraburi, Thailand",,,,,,,,,,,
"Collines, Benin",,,,,,,,,,,
"Chüy, Kyrgyzstan",,,,,,,,,,,
"Shārī al Awsaṭ, Chad",,,,,,,,,,,
"Western North, Ghana",,,,,,,,,,,
"Kamphaeng Phet, Thailand",,,,,,,,,,,
"Ica, Peru",,,,,,,,,,,
"Ahal, Turkmenistan",,,,,,,,,,,
"Gharb Dārfūr, Sudan",,,,,,,,,,,
"Bataan, Philippines",,,,,,,,,,,
"Vaud, Switzerland",,,,,,,,,,,
"Yamanasi, Japan",,,,,,,,,,,
"Kolda, Senegal",,,,,,,,,,,
"Oum el Bouaghi, Algeria",,,,,,,,,,,
"Matebeleland South, Zimbabwe",,,,,,,,,,,
"Shamāl al Bāţinah, Oman",,,,,,,,,,,
"Upper West, Ghana",,,,,,,,,,,
"Al Janūbī, Eritrea",,,,,,,,,,,
"Košický kraj, Slovakia",,,,,,,,,,,
"Gao, Mali",,,,,,,,,,,
"Capiz, Philippines",,,,,,,,,,,
"Shārī Bāqirmī, Chad",,,,,,,,,,,
"Sirdaryo, Uzbekistan",,,,,,,,,,,
"Phuket, Thailand",,,,,,,,,,,
"Litoral, Equatorial Guinea",,,,,,,,,,,
"Chaiyaphum, Thailand",,,,,,,,,,,
"Liban-Sud, Lebanon",,,,,,,,,,,
"Ḥajjar Lamīs, Chad",,,,,,,,,,,
"Kurganskaya oblast', Russia",,,,,,,,,,,
"Northern Samar, Philippines",,,,,,,,,,,
"Agusan del Norte, Philippines",,,,,,,,,,,
"Kanchanaburi, Thailand",,,,,,,,,,,
"Colima, Mexico",,,,,,,,,,,
"Banteay Mean Choăy [Bântéay Méanchey], Cambodia",,,,,,,,,,,
"Ústecký kraj, Czech Republic",,,,,,,,,,,
"El Oued, Algeria",,,,,,,,,,,
"Al Maḩwīt, Yemen",,,,,,,,,,,
"Tbilisi, Georgia",,,,,,,,,,,
"Sjælland, Denmark",,,,,,,,,,,
"Māyū Kībbī al Gharbī, Chad",,,,,,,,,,,
"Lampang, Thailand",,,,,,,,,,,
"Bordj Bou Arréridj, Algeria",,,,,,,,,,,
"Mulanje, Malawi",,,,,,,,,,,
"Ryanggang-do [Ryangkangto], North Korea",,,,,,,,,,,
"Kampong Spueu [Kâmpóng Spœ], Cambodia",,,,,,,,,,,
"Ţarābulus, Libya",,,,,,,,,,,
"Eastern Highlands, Papua New Guinea",,,,,,,,,,,
"Malatya, Turkey",,,,,,,,,,,
"Mérida, Venezuela",,,,,,,,,,,
"Sousse, Tunisia",,,,,,,,,,,
"Qīrā, Chad",,,,,,,,,,,
"Farāh, Afghanistan",,,,,,,,,,,
"Morobe, Papua New Guinea",,,,,,,,,,,
"Soltüstik Qazaqstan oblysy, Kazakhstan",,,,,,,,,,,
"Hukui, Japan",,,,,,,,,,,
"Qyzylorda oblysy, Kazakhstan",,,,,,,,,,,
"Grad Zagreb, Croatia",,,,,,,,,,,
"Amurskaya oblast', Russia",,,,,,,,,,,
"La Libertad, El Salvador",,,,,,,,,,,
"Hoima, Uganda",,,,,,,,,,,
"Chachoengsao, Thailand",,,,,,,,,,,
"Būr Sa‘īd, Egypt",,,,,,,,,,,
"Dowa, Malawi",,,,,,,,,,,
"North Dakota, USA",0.1870217699754774,0.0035998185432782053,0.44098365827014885,0.2882532596989384,0.08014149351215713,0.3301046640030972,,0.5740029577210692,,0.09589237827583352,
"Ilocos Sur, Philippines",,,,,,,,,,,
"Lanao del Sur, Philippines",,,,,,,,,,,
"Braga, Portugal",,,,,,,,,,,
"Anosy, Madagascar",,,,,,,,,,,
"Camagüey, Cuba",,,,,,,,,,,
"Annaba, Algeria",,,,,,,,,,,
"New Brunswick, Canada",,,,,,,0.3573925088868428,,0.5266256565167334,,0.11598183459642368
"Central, Botswana",,,,,,,,,,,
"Mangghystaū oblysy, Kazakhstan",,,,,,,,,,,
"Escuintla, Guatemala",,,,,,,,,,,
"Komi, Respublika, Russia",,,,,,,,,,,
"Erzurum, Turkey",,,,,,,,,,,
"Jujuy, Argentina",,,,,,,,,,,
"Pavlodar oblysy, Kazakhstan",,,,,,,,,,,
"Machinga, Malawi",,,,,,,,,,,
"Tirol, Austria",,,,,,,,,,,
"Cibao Sur, Dominican Republic",,,,,,,,,,,
"Kajiado, Kenya",,,,,,,,,,,
"Sarangani, Philippines",,,,,,,,,,,
"Ratchaburi, Thailand",,,,,,,,,,,
"Hebron, State of Palestine",,,,,,,,,,,
"Nyeri, Kenya",,,,,,,,,,,
"Tébessa, Algeria",,,,,,,,,,,
"Maha Sarakham, Thailand",,,,,,,,,,,
"San Juan, Argentina",,,,,,,,,,,
"Iaşi, Romania",,,,,,,,,,,
"Aḑ Ḑāli‘, Yemen",,,,,,,,,,,
"Shabwah, Yemen",,,,,,,,,,,
"Yên Bái, Vietnam",,,,,,,,,,,
"Chimaltenango, Guatemala",,,,,,,,,,,
"Mukono, Uganda",,,,,,,,,,,
"Villa Clara, Cuba",,,,,,,,,,,
"Embu, Kenya",,,,,,,,,,,
"Dādra and Nagar Haveli and Damān and Diu, India",,,,,,,,,,,
"Couffo, Benin",,,,,,,,,,,
"Liban-Nord, Lebanon",,,,,,,,,,,
"Oti, Ghana",,,,,,,,,,,
"Kalimantan Utara, Indonesia",,,,,,,,,,,
"Misamis Occidental, Philippines",,,,,,,,,,,
"Tokusima, Japan",,,,,,,,,,,
"Orlovskaya oblast', Russia",,,,,,,,,,,
"Guárico, Venezuela",,,,,,,,,,,
"Ţarţūs, Syria",,,,,,,,,,,
"Togdheer, Somalia",,,,,,,,,,,
"Kampong Chaam [Kâmpóng Cham], Cambodia",,,,,,,,,,,
"Ayacucho, Peru",,,,,,,,,,,
"Baringo, Kenya",,,,,,,,,,,
"Zamboanga Sibugay, Philippines",,,,,,,,,,,
"Mchinji, Malawi",,,,,,,,,,,
"Itasy, Madagascar",,,,,,,,,,,
"Arua, Uganda",,,,,,,,,,,
"Jerusalem, State of Palestine",,,,,,,,,,,
"Prahova, Romania",,,,,,,,,,,
"Laghouat, Algeria",,,,,,,,,,,
"Alaska, USA",0.14936292322983905,0.003792136843471862,0.4055833876944217,0.3321202531319333,0.10914129910033404,0.33316963762103813,,0.5537987700507717,,0.11303159232819025,
"Río Negro, Argentina",,,,,,,,,,,
"Southern Highlands, Papua New Guinea",,,,,,,,,,,
"Surigao del Norte, Philippines",,,,,,,,,,,
"Najrān, Saudi Arabia",,,,,,,,,,,
"Trabzon, Turkey",,,,,,,,,,,
"Lạng Sơn, Vietnam",,,,,,,,,,,
"Hà Giang, Vietnam",,,,,,,,,,,
"Namibe, Angola",,,,,,,,,,,
"Sar-e Pul, Afghanistan",,,,,,,,,,,
"Mono, Benin",,,,,,,,,,,
"Amoron'i Mania, Madagascar",,,,,,,,,,,
"Kaffrine, Senegal",,,,,,,,,,,
"Zonguldak, Turkey",,,,,,,,,,,
"Nyandarua, Kenya",,,,,,,,,,,
"Sud-Est, Haiti",,,,,,,,,,,
"Sidi Bel Abbès, Algeria",,,,,,,,,,,
"Kôti, Japan",,,,,,,,,,,
"Yumbe, Uganda",,,,,,,,,,,
"Warrap, South Sudan",,,,,,,,,,,
"Esmeraldas, Ecuador",,,,,,,,,,,
"Semnān, Iran",,,,,,,,,,,
"Abyan, Yemen",,,,,,,,,,,
"Nur-Sultan, Kazakhstan",,,,,,,,,,,
"Djibouti, Djibouti",,,,,,,,,,,
"Donga, Benin",,,,,,,,,,,
"Al Jawf, Yemen",,,,,,,,,,,
"Al Baţḩā’, Chad",,,,,,,,,,,
"Erevan, Armenia",,,,,,,,,,,
"Bremen, Germany",,,,,,,,,,,
"Tuyên Quang, Vietnam",,,,,,,,,,,
"Murmanskaya oblast', Russia",,,,,,,,,,,
"Matam, Senegal",,,,,,,,,,,
"West Pokot, Kenya",,,,,,,,,,,
"Ntcheu, Malawi",,,,,,,,,,,
"Bujumbura Rural, Burundi",,,,,,,,,,,
