longname,High School %,Undergrad %,Grad %,High school diploma [25-64] %,Bachelor's degree [25-64] %,Graduate degree [25-64] %,Undergrad STEM %,Undergrad Humanities %,Undergrad Business %,% of women with high school education - % of men with high school education,% of women with undergraduate education - % of men with undergraduate education,% of women with graduate education - % of men with graduate education
"Şalāḩ ad Dīn, Iraq",,,,,,,,,,,,
"Cundinamarca, Colombia",,,,,,,,,,,,
"Andijon, Uzbekistan",,,,,,,,,,,,
"Nizhegorodskaya oblast', Russia",,,,,,,,,,,,
"Rizal, Philippines",,,,,,,,,,,,
"Arkansas, USA",0.8839569713914595,0.2292059222143399,0.08292704416103674,,,,0.09358837329248867,0.08752587660587881,0.04809167231597186,0.021076072240231114,0.025812162352775225,0.011659340019153253
"Lilongwe, Malawi",,,,,,,,,,,,
"Shamāl Kurdufān, Sudan",,,,,,,,,,,,
"Coahuila de Zaragoza, Mexico",,,,,,,,,,,,
"Gombe, Nigeria",,,,,,,,,,,,
"Lualaba, Democratic Republic of the Congo",,,,,,,,,,,,
"Souss-Massa, Morocco",,,,,,,,,,,,
"Nghệ An, Vietnam",,,,,,,,,,,,
"Wakiso, Uganda",,,,,,,,,,,,
"Mississippi, USA",0.8645386692392197,0.2192311599572185,0.0853036559986299,,,,0.08562303482845268,0.08652297410071291,0.04708515102805278,0.04012929061140191,0.04905577839010025,0.025265853233327515
"Sinaloa, Mexico",,,,,,,,,,,,
"Morogoro, Tanzania",,,,,,,,,,,,
"Koulikoro, Mali",,,,,,,,,,,,
"Kansas, USA",0.9192913543428436,0.33087227164917143,0.12311179608298682,,,,0.13488586211383014,0.1244102959278647,0.07157611360747956,0.016420400084575237,0.02466495620670306,0.008636534852506275
"Schleswig-Holstein, Germany",,,,,,,,,,,,
"Stavropol'skiy kray, Russia",,,,,,,,,,,,
"Kyiv, Ukraine",,,,,,,,,,,,
"Kigoma, Tanzania",,,,,,,,,,,,
"Dolnośląskie, Poland",,,,,,,,,,,,
"Montagnes, Ivory Coast",,,,,,,,,,,,
"San Luis Potosí, Mexico",,,,,,,,,,,,
"Noord-Holland, Netherlands",,,,,,,,,,,,
"Kayes, Mali",,,,,,,,,,,,
"Rīf Dimashq, Syria",,,,,,,,,,,,
"Mato Grosso do Sul, Brazil",,,,,,,,,,,,
"Pampanga, Philippines",,,,,,,,,,,,
"Tshopo, Democratic Republic of the Congo",,,,,,,,,,,,
"Incheon-gwangyeoksi, South Korea",,,,,,,,,,,,
"Ibaraki, Japan",,,,,,,,,,,,
"Bourgogne-Franche-Comté, France",,,,,,,,,,,,
"P’yŏngan-bukto [Phyeonganpukto], North Korea",,,,,,,,,,,,
"Namangan, Uzbekistan",,,,,,,,,,,,
"Iloilo, Philippines",,,,,,,,,,,,
"Mopti, Mali",,,,,,,,,,,,
"Abuja Federal Capital Territory, Nigeria",,,,,,,,,,,,
"Novosibirskaya oblast', Russia",,,,,,,,,,,,
"Leinster, Ireland",,,,,,,,,,,,
"Free State, South Africa",,,,,,,,,,,,
"North, Cameroon",,,,,,,,,,,,
"Ouest, Rwanda",,,,,,,,,,,,
"Tabasco, Mexico",,,,,,,,,,,,
"Hirosima, Japan",,,,,,,,,,,,
"Central, Ghana",,,,,,,,,,,,
"Kankan, Guinea",,,,,,,,,,,,
"Almaty oblysy, Kazakhstan",,,,,,,,,,,,
"Geita, Tanzania",,,,,,,,,,,,
"Tanga, Tanzania",,,,,,,,,,,,
"Sarawak, Malaysia",,,,,,,,,,,,
"Sassandra-Marahoué, Ivory Coast",,,,,,,,,,,,
"Béni Mellal-Khénifra, Morocco",,,,,,,,,,,,
"Bas-Sassandra, Ivory Coast",,,,,,,,,,,,
"Sulawesi Tenggara, Indonesia",,,,,,,,,,,,
"Western Australia, Australia",,,,,,,,,,,,
"Al Baḩr al Aḩmar, Sudan",,,,,,,,,,,,
"Sughd, Tajikistan",,,,,,,,,,,,
"Nasarawa, Nigeria",,,,,,,,,,,,
"Dosso, Niger",,,,,,,,,,,,
"Krasnoyarskiy kray, Russia",,,,,,,,,,,,
"Madhyama paḷāta, Sri Lanka",,,,,,,,,,,,
"Gyeongsangbuk-do, South Korea",,,,,,,,,,,,
"Copperbelt, Zambia",,,,,,,,,,,,
"Kharkivska oblast, Ukraine",,,,,,,,,,,,
"Davao del Sur, Philippines",,,,,,,,,,,,
"Atlántico, Colombia",,,,,,,,,,,,
"Kemerovskaya oblast', Russia",,,,,,,,,,,,
"Dakuṇu paḷāta, Sri Lanka",,,,,,,,,,,,
"Hwanghae-namdo [Hwanghainamto], North Korea",,,,,,,,,,,,
"Bayelsa, Nigeria",,,,,,,,,,,,
"Kalimantan Tengah, Indonesia",,,,,,,,,,,,
"Arbīl, Iraq",,,,,,,,,,,,
"Dodoma, Tanzania",,,,,,,,,,,,
"An Nīl al Abyaḑ, Sudan",,,,,,,,,,,,
"Sulawesi Utara, Indonesia",,,,,,,,,,,,
"Sīstān va Balūchestān, Iran",,,,,,,,,,,,
"Perak, Malaysia",,,,,,,,,,,,
"Vayamba paḷāta, Sri Lanka",,,,,,,,,,,,
"Antalya, Turkey",,,,,,,,,,,,
"Sizuoka, Japan",,,,,,,,,,,,
"Hauts-Bassins, Burkina Faso",,,,,,,,,,,,
"Maputo (City), Mozambique",,,,,,,,,,,,
"Noord-Brabant, Netherlands",,,,,,,,,,,,
"Centre-Val de Loire, France",,,,,,,,,,,,
"Surxondaryo, Uzbekistan",,,,,,,,,,,,
"Permskiy kray, Russia",,,,,,,,,,,,
"Volgogradskaya oblast', Russia",,,,,,,,,,,,
"Brandenburg, Germany",,,,,,,,,,,,
"HaMerkaz, Israel",,,,,,,,,,,,
"Samut Prakan, Thailand",,,,,,,,,,,,
"Bābil, Iraq",,,,,,,,,,,,
"Miyagi, Japan",,,,,,,,,,,,
"L'Oriental, Morocco",,,,,,,,,,,,
"Miranda, Venezuela",,,,,,,,,,,,
"Lvivska oblast, Ukraine",,,,,,,,,,,,
"Stockholms län, Sweden",,,,,,,,,,,,
"Galicia, Spain",,,,,,,,,,,,
"Kyôto, Japan",,,,,,,,,,,,
"Saratovskaya oblast', Russia",,,,,,,,,,,,
"Quezon, Philippines",,,,,,,,,,,,
"Kepulauan Riau, Indonesia",,,,,,,,,,,,
"Nueva Ecija, Philippines",,,,,,,,,,,,
"Łódzkie, Poland",,,,,,,,,,,,
"Benguela, Angola",,,,,,,,,,,,
"Al Madīnah al Munawwarah, Saudi Arabia",,,,,,,,,,,,
"Bolívar, Colombia",,,,,,,,,,,,
"Mandera, Kenya",,,,,,,,,,,,
"Sergipe, Brazil",,,,,,,,,,,,
"Sofala, Mozambique",,,,,,,,,,,,
"Ciudad Autónoma de Buenos Aires, Argentina",,,,,,,,,,,,
"Camarines Sur, Philippines",,,,,,,,,,,,
"Nakuru, Kenya",,,,,,,,,,,,
"Al Anbār, Iraq",,,,,,,,,,,,
"Irkutskaya oblast', Russia",,,,,,,,,,,,
"Manica, Mozambique",,,,,,,,,,,,
"Daegu-gwangyeoksi, South Korea",,,,,,,,,,,,
"Voronezhskaya oblast', Russia",,,,,,,,,,,,
"Lisboa, Portugal",,,,,,,,,,,,
"Dhī Qār, Iraq",,,,,,,,,,,,
"Hamgyŏng-bukto [Hamkyeongpukto], North Korea",,,,,,,,,,,,
"Ḩajjah, Yemen",,,,,,,,,,,,
"Wilayah Persekutuan Kuala Lumpur, Malaysia",,,,,,,,,,,,
"Đắk Lắk, Vietnam",,,,,,,,,,,,
"Pomorskie, Poland",,,,,,,,,,,,
"Odeska oblast, Ukraine",,,,,,,,,,,,
"Mara, Tanzania",,,,,,,,,,,,
"Nakhon Ratchasima, Thailand",,,,,,,,,,,,
"Sud-Ubangi, Democratic Republic of the Congo",,,,,,,,,,,,
"Arusha, Tanzania",,,,,,,,,,,,
"Sharq Dārfūr, Sudan",,,,,,,,,,,,
"Maniema, Democratic Republic of the Congo",,,,,,,,,,,,
"Konya, Turkey",,,,,,,,,,,,
"Alger, Algeria",,,,,,,,,,,,
"Western, Ghana",,,,,,,,,,,,
"Dahūk, Iraq",,,,,,,,,,,,
"Southern, Zambia",,,,,,,,,,,,
"Nangarhār, Afghanistan",,,,,,,,,,,,
"Niigata, Japan",,,,,,,,,,,,
"Castilla y León, Spain",,,,,,,,,,,,
"Santander, Colombia",,,,,,,,,,,,
"Altayskiy kray, Russia",,,,,,,,,,,,
"Nord, Rwanda",,,,,,,,,,,,
"Eastern, Zambia",,,,,,,,,,,,
"Islamabad, Pakistan",,,,,,,,,,,,
"Carabobo, Venezuela",,,,,,,,,,,,
"Hwanghae-bukto [Hwanghaipukto], North Korea",,,,,,,,,,,,
"Gaziantep, Turkey",,,,,,,,,,,,
"Sachsen-Anhalt, Germany",,,,,,,,,,,,
"Thiès, Senegal",,,,,,,,,,,,
"Alborz, Iran",,,,,,,,,,,,
"Northern, Ghana",,,,,,,,,,,,
"Hamadān, Iran",,,,,,,,,,,,
"Cần Thơ, Vietnam",,,,,,,,,,,,
"An Giang, Vietnam",,,,,,,,,,,,
"Cabo Delgado, Mozambique",,,,,,,,,,,,
"Kilimanjaro, Tanzania",,,,,,,,,,,,
"Querétaro, Mexico",,,,,,,,,,,,
"Yucatán, Mexico",,,,,,,,,,,,
"Chungcheongnam-do, South Korea",,,,,,,,,,,,
"Manicaland, Zimbabwe",,,,,,,,,,,,
"Gīlān, Iran",,,,,,,,,,,,
"Podkarpackie, Poland",,,,,,,,,,,,
"Leningradskaya oblast', Russia",,,,,,,,,,,,
"Türkistan oblysy, Kazakhstan",,,,,,,,,,,,
"Chiang Mai, Thailand",,,,,,,,,,,,
"Kedah, Malaysia",,,,,,,,,,,,
"Federacija Bosne i Hercegovine, Bosnia and Herzegovina",,,,,,,,,,,,
"Canarias, Spain",,,,,,,,,,,,
"Lubelskie, Poland",,,,,,,,,,,,
"As Sulaymānīyah, Iraq",,,,,,,,,,,,
"Gelderland, Netherlands",,,,,,,,,,,,
"Niassa, Mozambique",,,,,,,,,,,,
"New Mexico, USA",0.8735547390087803,0.27273086654016576,0.12161298362975642,,,,0.12826373031443633,0.10119909089934608,0.04326804532638613,0.01706095308457345,0.028046543963405668,0.009176776051183111
"Şanlıurfa, Turkey",,,,,,,,,,,,
"Mbeya, Tanzania",,,,,,,,,,,,
"Artibonite, Haiti",,,,,,,,,,,,
"Dhamār, Yemen",,,,,,,,,,,,
"Gandaki, Nepal",,,,,,,,,,,,
"Kujawsko-pomorskie, Poland",,,,,,,,,,,,
"Cochabamba, Bolivia",,,,,,,,,,,,
"Luhanska oblast, Ukraine",,,,,,,,,,,,
"Nagano, Japan",,,,,,,,,,,,
"Leyte, Philippines",,,,,,,,,,,,
"Francisco Morazán, Honduras",,,,,,,,,,,,
"Cuanza-Sul, Angola",,,,,,,,,,,,
"Thüringen, Germany",,,,,,,,,,,,
"La Habana, Cuba",,,,,,,,,,,,
"Huambo, Angola",,,,,,,,,,,,
"Tipaza, Algeria",,,,,,,,,,,,
"Āsīr, Saudi Arabia",,,,,,,,,,,,
"Sabaragamuva paḷāta, Sri Lanka",,,,,,,,,,,,
"País Vasco, Spain",,,,,,,,,,,,
"Gihu, Japan",,,,,,,,,,,,
"Kakamega, Kenya",,,,,,,,,,,,
"Castilla-La Mancha, Spain",,,,,,,,,,,,
"Mendoza, Argentina",,,,,,,,,,,,
"Harare, Zimbabwe",,,,,,,,,,,,
"Āfar, Ethiopia",,,,,,,,,,,,
"Mashonaland West, Zimbabwe",,,,,,,,,,,,
"Mont-Liban, Lebanon",,,,,,,,,,,,
"Horad Minsk, Belarus",,,,,,,,,,,,
"Kachin, Myanmar",,,,,,,,,,,,
"Distrito Federal, Venezuela",,,,,,,,,,,,
"Kassalā, Sudan",,,,,,,,,,,,
"Morelos, Mexico",,,,,,,,,,,,
"Cortés, Honduras",,,,,,,,,,,,
"Shinyanga, Tanzania",,,,,,,,,,,,
"Maluku, Indonesia",,,,,,,,,,,,
"Savanes, Ivory Coast",,,,,,,,,,,,
"Nāgāland, India",,,,,,,,,,,,
"Mon, Myanmar",,,,,,,,,,,,
"La Libertad, Peru",,,,,,,,,,,,
"West, Cameroon",,,,,,,,,,,,
"Midlands, Zimbabwe",,,,,,,,,,,,
"Est, Burkina Faso",,,,,,,,,,,,
"Nebraska, USA",0.9200158747350142,0.31823314805235703,0.1102074697596141,,,,0.1258655934053186,0.12227105655601112,0.07009649809101764,0.014085715506012786,0.030708896704665867,0.011529391087211321
"Durango, Mexico",,,,,,,,,,,,
"Hatay, Turkey",,,,,,,,,,,,
"Hukusima, Japan",,,,,,,,,,,,
"Piura, Peru",,,,,,,,,,,,
"Simiyu, Tanzania",,,,,,,,,,,,
"Wien, Austria",,,,,,,,,,,,
"Az Zarqā’, Jordan",,,,,,,,,,,,
"North-West, Cameroon",,,,,,,,,,,,
"Buxoro, Uzbekistan",,,,,,,,,,,,
"Vojvodina, Serbia",,,,,,,,,,,,
"Kiambu, Kenya",,,,,,,,,,,,
"Shabeellaha Hoose, Somalia",,,,,,,,,,,,
"Northern Ireland, United Kingdom",,,,,,,,,,,,
"Orenburgskaya oblast', Russia",,,,,,,,,,,,
"Rakhine, Myanmar",,,,,,,,,,,,
"Boucle du Mouhoun, Burkina Faso",,,,,,,,,,,,
"Équateur, Democratic Republic of the Congo",,,,,,,,,,,,
"Phnom Penh [Phnum Pénh], Cambodia",,,,,,,,,,,,
"Primorskiy kray, Russia",,,,,,,,,,,,
"Avtonomna Respublika Krym, Ukraine",,,,,,,,,,,,
"Dimashq, Syria",,,,,,,,,,,,
"Okayama, Japan",,,,,,,,,,,,
"Woqooyi Galbeed, Somalia",,,,,,,,,,,,
"Misamis Oriental, Philippines",,,,,,,,,,,,
"Totigi, Japan",,,,,,,,,,,,
"South-West, Cameroon",,,,,,,,,,,,
"Beograd, Serbia",,,,,,,,,,,,
"Bengkulu, Indonesia",,,,,,,,,,,,
"Singida, Tanzania",,,,,,,,,,,,
"Gôh-Djiboua, Ivory Coast",,,,,,,,,,,,
"Hải Phòng, Vietnam",,,,,,,,,,,,
"Volta, Ghana",,,,,,,,,,,,
"Vakinankaratra, Madagascar",,,,,,,,,,,,
"Diyālá, Iraq",,,,,,,,,,,,
"Western Area, Sierra Leone",,,,,,,,,,,,
"Isabela, Philippines",,,,,,,,,,,,
"Hovedstaden, Denmark",,,,,,,,,,,,
"Gunma, Japan",,,,,,,,,,,,
"Gharb Kurdufān, Sudan",,,,,,,,,,,,
"Omskaya oblast', Russia",,,,,,,,,,,,
"Masvingo, Zimbabwe",,,,,,,,,,,,
"Chernihivska oblast, Ukraine",,,,,,,,,,,,
"Bucureşti, Romania",,,,,,,,,,,,
"Manyara, Tanzania",,,,,,,,,,,,
"Nzérékoré, Guinea",,,,,,,,,,,,
"Lorestān, Iran",,,,,,,,,,,,
"Sinnār, Sudan",,,,,,,,,,,,
"Tiền Giang, Vietnam",,,,,,,,,,,,
"Vatovavy-Fitovinany, Madagascar",,,,,,,,,,,,
"Thái Bình, Vietnam",,,,,,,,,,,,
"Córdoba, Colombia",,,,,,,,,,,,
"Long An, Vietnam",,,,,,,,,,,,
"Oran, Algeria",,,,,,,,,,,,
"Kiến Giang, Vietnam",,,,,,,,,,,,
"Irbid, Jordan",,,,,,,,,,,,
"Mersin, Turkey",,,,,,,,,,,,
"Kocaeli, Turkey",,,,,,,,,,,,
"Kentrikí Makedonía, Greece",,,,,,,,,,,,
"Valparaíso, Chile",,,,,,,,,,,,
"Xorazm, Uzbekistan",,,,,,,,,,,,
"Diourbel, Senegal",,,,,,,,,,,,
"Al Qādisīyah, Iraq",,,,,,,,,,,,
"Idaho, USA",0.9159847512038538,0.2771123595505602,0.09151123595505453,,,,0.12492215088282457,0.10241492776885693,0.04977528089887638,0.016953767686338717,0.006350044997581017,-0.015059570366847241
"Nam Ðịnh, Vietnam",,,,,,,,,,,,
"Pwani, Tanzania",,,,,,,,,,,,
"Montserrado, Liberia",,,,,,,,,,,,
"Porto, Portugal",,,,,,,,,,,,
"Southern, Sierra Leone",,,,,,,,,,,,
"Ash Shāriqah, United Arab Emirates",,,,,,,,,,,,
"Balkh, Afghanistan",,,,,,,,,,,,
"Pathum Thani, Thailand",,,,,,,,,,,,
"Qoraqalpog'iston Respublikasi, Uzbekistan",,,,,,,,,,,,
"Ḩimş, Syria",,,,,,,,,,,,
"Nonthaburi, Thailand",,,,,,,,,,,,
"Hamburg, Germany",,,,,,,,,,,,
"Sétif, Algeria",,,,,,,,,,,,
"Diyarbakır, Turkey",,,,,,,,,,,,
"Kwango, Democratic Republic of the Congo",,,,,,,,,,,,
"Calabria, Italy",,,,,,,,,,,,
"Lara, Venezuela",,,,,,,,,,,,
"West Virginia, USA",0.8876326182289195,0.20495214725443636,0.08271211950296722,,,,0.08657588860071189,0.08057917721262692,0.03779708144109648,0.021903609679933878,0.030270698270718238,0.01872090127296215
"South Australia, Australia",,,,,,,,,,,,
"Kumamoto, Japan",,,,,,,,,,,,
"Songkhla, Thailand",,,,,,,,,,,,
"Budapest, Hungary",,,,,,,,,,,,
"Mashonaland East, Zimbabwe",,,,,,,,,,,,
"Mongala, Democratic Republic of the Congo",,,,,,,,,,,,
"Ruvuma, Tanzania",,,,,,,,,,,,
"Khon Kaen, Thailand",,,,,,,,,,,,
"Kermānshāh, Iran",,,,,,,,,,,,
"Markazī, Iran",,,,,,,,,,,,
"Hormozgān, Iran",,,,,,,,,,,,
"Jeollabuk-do, South Korea",,,,,,,,,,,,
"Bukidnon, Philippines",,,,,,,,,,,,
"Auckland, New Zealand",,,,,,,,,,,,
"Drâa-Tafilalet, Morocco",,,,,,,,,,,,
"Hải Dương, Vietnam",,,,,,,,,,,,
"Biobío, Chile",,,,,,,,,,,,
"Atsimo-Andrefana, Madagascar",,,,,,,,,,,,
"Golestān, Iran",,,,,,,,,,,,
"Bình Dương, Vietnam",,,,,,,,,,,,
"Arunāchal Pradesh, India",,,,,,,,,,,,
"Al Qaḑārif, Sudan",,,,,,,,,,,,
"Rondônia, Brazil",,,,,,,,,,,,
"Central, Zambia",,,,,,,,,,,,
"Eastern, Sierra Leone",,,,,,,,,,,,
"Pulau Pinang, Malaysia",,,,,,,,,,,,
"Kayin, Myanmar",,,,,,,,,,,,
"Jeollanam-do, South Korea",,,,,,,,,,,,
"Kandahār, Afghanistan",,,,,,,,,,,,
"Zachodniopomorskie, Poland",,,,,,,,,,,,
"Djelfa, Algeria",,,,,,,,,,,,
"Västra Götalands län, Sweden",,,,,,,,,,,,
"Zaporizka oblast, Ukraine",,,,,,,,,,,,
"Zacatecas, Mexico",,,,,,,,,,,,
"Mie, Japan",,,,,,,,,,,,
"Manisa, Turkey",,,,,,,,,,,,
"Masqaţ, Oman",,,,,,,,,,,,
"Centre-Nord, Burkina Faso",,,,,,,,,,,,
"Bungoma, Kenya",,,,,,,,,,,,
"Aragua, Venezuela",,,,,,,,,,,,
"Littoral, Benin",,,,,,,,,,,,
"Tucumán, Argentina",,,,,,,,,,,,
"Kampala, Uganda",,,,,,,,,,,,
"Niederösterreich, Austria",,,,,,,,,,,,
"Adana, Turkey",,,,,,,,,,,,
"Centre-Ouest, Burkina Faso",,,,,,,,,,,,
"Bié, Angola",,,,,,,,,,,,
"Panamá, Panama",,,,,,,,,,,,
"Kirkūk, Iraq",,,,,,,,,,,,
"Kyivska oblast, Ukraine",,,,,,,,,,,,
"Ubon Ratchathani, Thailand",,,,,,,,,,,,
"San Salvador, El Salvador",,,,,,,,,,,,
"Vallée du Bandama, Ivory Coast",,,,,,,,,,,,
"Nariño, Colombia",,,,,,,,,,,,
"Daejeon-gwangyeoksi, South Korea",,,,,,,,,,,,
"Pahang, Malaysia",,,,,,,,,,,,
"Ðồng Tháp, Vietnam",,,,,,,,,,,,
"Borgou, Benin",,,,,,,,,,,,
"Lagunes, Ivory Coast",,,,,,,,,,,,
"Kosovo-Metohija, Serbia",,,,,,,,,,,,
"Uusimaa, Finland",,,,,,,,,,,,
"Quintana Roo, Mexico",,,,,,,,,,,,
"Haut-Uélé, Democratic Republic of the Congo",,,,,,,,,,,,
"Northern, Zambia",,,,,,,,,,,,
"Cibao Nord, Dominican Republic",,,,,,,,,,,,
"San José, Costa Rica",,,,,,,,,,,,
"Belgorodskaya oblast', Russia",,,,,,,,,,,,
"Brazzaville, Congo",,,,,,,,,,,,
"Khanty-Mansiyskiy avtonomnyy okrug, Russia",,,,,,,,,,,,
"Kangwon-do [Kangweonto], North Korea",,,,,,,,,,,,
"Ḩaḑramawt, Yemen",,,,,,,,,,,,
"Chungcheongbuk-do, South Korea",,,,,,,,,,,,
"Kagosima, Japan",,,,,,,,,,,,
"Ardabīl, Iran",,,,,,,,,,,,
"Luapula, Zambia",,,,,,,,,,,,
"Sofia, Madagascar",,,,,,,,,,,,
"Manabí, Ecuador",,,,,,,,,,,,
"Puducherry, India",,,,,,,,,,,,
"Ulaanbaatar, Mongolia",,,,,,,,,,,,
"An Najaf, Iraq",,,,,,,,,,,,
"Meru, Kenya",,,,,,,,,,,,
"Tocantins, Brazil",,,,,,,,,,,,
"Managua, Nicaragua",,,,,,,,,,,,
"Kelantan, Malaysia",,,,,,,,,,,,
"Nahr an Nīl, Sudan",,,,,,,,,,,,
"Songwe, Tanzania",,,,,,,,,,,,
"Næ̆gĕnahira paḷāta, Sri Lanka",,,,,,,,,,,,
"Fāryāb, Afghanistan",,,,,,,,,,,,
"Dumyāţ, Egypt",,,,,,,,,,,,
"Kepulauan Bangka Belitung, Indonesia",,,,,,,,,,,,
"Gangwon-do, South Korea",,,,,,,,,,,,
"Mtwara, Tanzania",,,,,,,,,,,,
"Tyumenskaya oblast', Russia",,,,,,,,,,,,
"Goa, India",,,,,,,,,,,,
"Vinnytska oblast, Ukraine",,,,,,,,,,,,
"Cajamarca, Peru",,,,,,,,,,,,
"Nord, Burkina Faso",,,,,,,,,,,,
"Mecklenburg-Vorpommern, Germany",,,,,,,,,,,,
"Sardegna, Italy",,,,,,,,,,,,
"Negros Oriental, Philippines",,,,,,,,,,,,
"Bolívar, Venezuela",,,,,,,,,,,,
"Badakhshān, Afghanistan",,,,,,,,,,,,
"Gia Lai, Vietnam",,,,,,,,,,,,
"Murcia, Región de, Spain",,,,,,,,,,,,
"Chagang-do [Jakangto], North Korea",,,,,,,,,,,,
"Bắc Giang, Vietnam",,,,,,,,,,,,
"South Cotabato, Philippines",,,,,,,,,,,,
"Inhambane, Mozambique",,,,,,,,,,,,
"Anzoátegui, Venezuela",,,,,,,,,,,,
"Gaza, Mozambique",,,,,,,,,,,,
"Sulawesi Barat, Indonesia",,,,,,,,,,,,
"Samsun, Turkey",,,,,,,,,,,,
"Junín, Peru",,,,,,,,,,,,
"Liguria, Italy",,,,,,,,,,,,
"Warmińsko-mazurskie, Poland",,,,,,,,,,,,
"Marche, Italy",,,,,,,,,,,,
"Bình Định, Vietnam",,,,,,,,,,,,
"Maluku Utara, Indonesia",,,,,,,,,,,,
"Siga, Japan",,,,,,,,,,,,
"Takhār, Afghanistan",,,,,,,,,,,,
"Mashonaland Central, Zimbabwe",,,,,,,,,,,,
"Tel-Aviv, Israel",,,,,,,,,,,,
"Puno, Peru",,,,,,,,,,,,
"Baat Dambang [Batdâmbâng], Cambodia",,,,,,,,,,,,
"Zürich, Switzerland",,,,,,,,,,,,
"Chechenskaya Respublika, Russia",,,,,,,,,,,,
"Homieĺskaja voblasć, Belarus",,,,,,,,,,,,
"Davao del Norte, Philippines",,,,,,,,,,,,
"Tanintharyi, Myanmar",,,,,,,,,,,,
"Udmurtskaya Respublika, Russia",,,,,,,,,,,,
"Madīnat Injamīnā, Chad",,,,,,,,,,,,
"Wajir, Kenya",,,,,,,,,,,,
"Středočeský kraj, Czech Republic",,,,,,,,,,,,
"Wāsiţ, Iraq",,,,,,,,,,,,
"Oberösterreich, Austria",,,,,,,,,,,,
"Idlib, Syria",,,,,,,,,,,,
"Kandaal [Kândal], Cambodia",,,,,,,,,,,,
"Okinawa, Japan",,,,,,,,,,,,
"Albay, Philippines",,,,,,,,,,,,
"Sahel, Burkina Faso",,,,,,,,,,,,
"Hawaii, USA",0.9289026032398966,0.3345228957988543,0.11838127937657479,,,,0.15554701352359585,0.11331771801062364,0.06565816426463439,-0.005833962111567281,0.033501731061531925,0.008708330149549123
"Lacs, Ivory Coast",,,,,,,,,,,,
"Kayseri, Turkey",,,,,,,,,,,,
"Quảng Nam, Vietnam",,,,,,,,,,,,
"Atsinanana, Madagascar",,,,,,,,,,,,
"Al Ismā‘īlīyah, Egypt",,,,,,,,,,,,
"Bresckaja voblasć, Belarus",,,,,,,,,,,,
"Cunene, Angola",,,,,,,,,,,,
"Tunis, Tunisia",,,,,,,,,,,,
"Arequipa, Peru",,,,,,,,,,,,
"Karbalā’, Iraq",,,,,,,,,,,,
"Garissa, Kenya",,,,,,,,,,,,
"Malange, Angola",,,,,,,,,,,,
"HaTsafon, Israel",,,,,,,,,,,,
"Chon Buri, Thailand",,,,,,,,,,,,
"Tarlac, Philippines",,,,,,,,,,,,
"Al Ḩasakah, Syria",,,,,,,,,,,,
"Jāzān, Saudi Arabia",,,,,,,,,,,,
"Gwangju-gwangyeoksi, South Korea",,,,,,,,,,,,
"Skåne län, Sweden",,,,,,,,,,,,
"Salta, Argentina",,,,,,,,,,,,
"Plateaux, Togo",,,,,,,,,,,,
"'Amrān, Yemen",,,,,,,,,,,,
"Northern, Sierra Leone",,,,,,,,,,,,
"Bohol, Philippines",,,,,,,,,,,,
"Shyghys Qazaqstan oblysy, Kazakhstan",,,,,,,,,,,,
"Rukwa, Tanzania",,,,,,,,,,,,
"Lâm Ðồng, Vietnam",,,,,,,,,,,,
"Sofia (stolitsa), Bulgaria",,,,,,,,,,,,
"Yamaguti, Japan",,,,,,,,,,,,
"Alta Verapaz, Guatemala",,,,,,,,,,,,
"Sóc Trăng, Vietnam",,,,,,,,,,,,
"Qaraghandy oblysy, Kazakhstan",,,,,,,,,,,,
"Balıkesir, Turkey",,,,,,,,,,,,
"Nayarit, Mexico",,,,,,,,,,,,
"Batna, Algeria",,,,,,,,,,,,
"Tul'skaya oblast', Russia",,,,,,,,,,,,
"Aguascalientes, Mexico",,,,,,,,,,,,
"Mary, Turkmenistan",,,,,,,,,,,,
"Al Uqşur, Egypt",,,,,,,,,,,,
"Moxico, Angola",,,,,,,,,,,,
"Ghaznī, Afghanistan",,,,,,,,,,,,
"Ivano-Frankivska oblast, Ukraine",,,,,,,,,,,,
"Mombasa, Kenya",,,,,,,,,,,,
"Cauca, Colombia",,,,,,,,,,,,
"New Hampshire, USA",0.9388367973478494,0.3670839305167677,0.14284612260444168,,,,0.17476479653139992,0.12301327839663069,0.06930585558873995,0.01757148320100621,0.02385709227437216,0.018555276914211577
"Poltavska oblast, Ukraine",,,,,,,,,,,,
"Kisii, Kenya",,,,,,,,,,,,
"Nakhon Si Thammarat, Thailand",,,,,,,,,,,,
"North Western, Sierra Leone",,,,,,,,,,,,
"Uturumæ̆da paḷāta, Sri Lanka",,,,,,,,,,,,
"Entre Ríos, Argentina",,,,,,,,,,,,
"Maine, USA",0.9400353491537983,0.32025327201214804,0.11988123598420479,,,,0.14381258504670194,0.13018318423269978,0.0462575027327449,0.021355130244756104,0.055679914385723395,0.025757087184342206
"Huehuetenango, Guatemala",,,,,,,,,,,,
"Ehime, Japan",,,,,,,,,,,,
"Cagayan, Philippines",,,,,,,,,,,,
"Aragón, Spain",,,,,,,,,,,,
"Tlaxcala, Mexico",,,,,,,,,,,,
"Almaty, Kazakhstan",,,,,,,,,,,,
"Kilifi, Kenya",,,,,,,,,,,,
"Penzenskaya oblast', Russia",,,,,,,,,,,,
"Cotabato, Philippines",,,,,,,,,,,,
"Msila, Algeria",,,,,,,,,,,,
