longname,Commute Car %,Commute Bike %,Commute Walk %,Commute Transit %,Commute Work From Home %,Commute Time < 15 min %,Commute Time < 15 min % [StatCan],Commute Time 15 - 29 min %,Commute Time 15 - 29 min % [StatCan],Commute Time 30 - 59 min %,Commute Time 30 - 59 min % [StatCan],Commute Time > 60 min %,Commute Time > 60 min % [StatCan],Households With no Vehicle %,Households With 1+ Vehicles %,Households With 2+ Vehicles %,Traffic Fatalities Per Capita Per Year,Pedestrian/Cyclist Fatalities Per Capita Per Year,Total Traffic Fatalities In Last Decade,Total Pedestrian/Cyclist Fatalities In Last Decade
"Kermān, Iran",,,,,,,,,,,,,,,,,,,,
"Piemonte, Italy",,,,,,,,,,,,,,,,,,,,
"Al Jazīrah, Sudan",,,,,,,,,,,,,,,,,,,,
"Amazonas, Brazil",,,,,,,,,,,,,,,,,,,,
"Ozama, Dominican Republic",,,,,,,,,,,,,,,,,,,,
"Alberta, Canada",,,,,,,0.31153609893252576,,0.3898980991098973,,0.24432479563577827,,0.05424100632179867,,,,,,,
"Oregon, USA",0.7777393078617054,0.01933158508102386,0.03429428737753647,0.03475538766174841,0.12509541909036823,0.31357364043260355,,0.3721213610138336,,0.2531567508834625,,0.061148247670100436,,0.07083197641898238,0.9291680235810176,0.6205809101124057,0.00011186659083024363,2.1051687557083823e-05,4740.0,892.0
"Kalimantan Selatan, Indonesia",,,,,,,,,,,,,,,,,,,,
"Sverdlovskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Rostovskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Bashkortostan, Respublika, Russia",,,,,,,,,,,,,,,,,,,,
"Nīnawá, Iraq",,,,,,,,,,,,,,,,,,,,
"Tanganyika, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,
"Rheinland-Pfalz, Germany",,,,,,,,,,,,,,,,,,,,
"Sachsen, Germany",,,,,,,,,,,,,,,,,,,,
"Donets'ka oblast, Ukraine",,,,,,,,,,,,,,,,,,,,
"Espírito Santo, Brazil",,,,,,,,,,,,,,,,,,,,
"Paraíba, Brazil",,,,,,,,,,,,,,,,,,,,
"Bulacan, Philippines",,,,,,,,,,,,,,,,,,,,
"Zulia, Venezuela",,,,,,,,,,,,,,,,,,,,
"Tripura, India",,,,,,,,,,,,,,,,,,,,
"Kalimantan Timur, Indonesia",,,,,,,,,,,,,,,,,,,,
"Cavite, Philippines",,,,,,,,,,,,,,,,,,,,
"Abia, Nigeria",,,,,,,,,,,,,,,,,,,,
"Mwanza, Tanzania",,,,,,,,,,,,,,,,,,,,
"Tanger-Tétouan-Al Hoceïma, Morocco",,,,,,,,,,,,,,,,,,,,
"Ekiti, Nigeria",,,,,,,,,,,,,,,,,,,,
"P’yŏngan-namdo [Phyeongannamto], North Korea",,,,,,,,,,,,,,,,,,,,
"Al ‘A̅şimah, Jordan",,,,,,,,,,,,,,,,,,,,
"North-West, South Africa",,,,,,,,,,,,,,,,,,,,
"Kongo Central, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,
"Oklahoma, USA",0.9020708228868634,0.0035616838883993315,0.017210394415992276,0.0032716811686324767,0.06354217500578538,0.3324154692797004,,0.3933842562519236,,0.22504495854015605,,0.04915531592821998,,0.05399143789482532,0.9460085621051748,0.6254917941472223,0.0001705578248611329,2.2907736879764184e-05,6753.0,907.0
"İzmir, Turkey",,,,,,,,,,,,,,,,,,,,
"Guerrero, Mexico",,,,,,,,,,,,,,,,,,,,
"Sikasso, Mali",,,,,,,,,,,,,,,,,,,,
"Tatarstan, Respublika, Russia",,,,,,,,,,,,,,,,,,,,
"Tā‘izz, Yemen",,,,,,,,,,,,,,,,,,,,
"Maritime (Région), Togo",,,,,,,,,,,,,,,,,,,,
"Puglia, Italy",,,,,,,,,,,,,,,,,,,,
"Kafr ash Shaykh, Egypt",,,,,,,,,,,,,,,,,,,,
"Sabah, Malaysia",,,,,,,,,,,,,,,,,,,,
"Magway, Myanmar",,,,,,,,,,,,,,,,,,,,
"Samarqand, Uzbekistan",,,,,,,,,,,,,,,,,,,,
"Meghālaya, India",,,,,,,,,,,,,,,,,,,,
"Johor, Malaysia",,,,,,,,,,,,,,,,,,,,
"Farg'ona, Uzbekistan",,,,,,,,,,,,,,,,,,,,
"Pays de la Loire, France",,,,,,,,,,,,,,,,,,,,
"Al Fayyūm, Egypt",,,,,,,,,,,,,,,,,,,,
"Banaadir, Somalia",,,,,,,,,,,,,,,,,,,,
"Eastern Equatoria, South Sudan",,,,,,,,,,,,,,,,,,,,
"Zuid-Holland, Netherlands",,,,,,,,,,,,,,,,,,,,
"Est, Rwanda",,,,,,,,,,,,,,,,,,,,
"Attikí, Greece",,,,,,,,,,,,,,,,,,,,
"Jambi, Indonesia",,,,,,,,,,,,,,,,,,,,
"Yobe, Nigeria",,,,,,,,,,,,,,,,,,,,
"Yogyakarta, Indonesia",,,,,,,,,,,,,,,,,,,,
"Huíla, Angola",,,,,,,,,,,,,,,,,,,,
"Lusaka, Zambia",,,,,,,,,,,,,,,,,,,,
"wallonne, Région, Belgium",,,,,,,,,,,,,,,,,,,,
"Santa Fe, Argentina",,,,,,,,,,,,,,,,,,,,
"Córdoba, Argentina",,,,,,,,,,,,,,,,,,,,
"Rio Grande do Norte, Brazil",,,,,,,,,,,,,,,,,,,,
"Ebonyi, Nigeria",,,,,,,,,,,,,,,,,,,,
"Azad Jammu and Kashmir, Pakistan",,,,,,,,,,,,,,,,,,,,
"Toscana, Italy",,,,,,,,,,,,,,,,,,,,
"Connecticut, USA",0.8196730245547489,0.0029799402055655268,0.026500569786541636,0.03848687798095885,0.10400931328436502,0.2630862105887122,,0.38271966751022796,,0.26445027113486075,,0.08974385076619903,,0.08457405292531119,0.9154259470746888,0.5856233712370773,8.012404944560758e-05,1.600262254417292e-05,2889.0,577.0
"Chihuahua, Mexico",,,,,,,,,,,,,,,,,,,,
"Tamaulipas, Mexico",,,,,,,,,,,,,,,,,,,,
"Dakar, Senegal",,,,,,,,,,,,,,,,,,,,
"Al Ḩudaydah, Yemen",,,,,,,,,,,,,,,,,,,,
"Mato Grosso, Brazil",,,,,,,,,,,,,,,,,,,,
"Ibb, Yemen",,,,,,,,,,,,,,,,,,,,
"Kwilu, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,
"Berlin, Germany",,,,,,,,,,,,,,,,,,,,
"Shamāl Dārfūr, Sudan",,,,,,,,,,,,,,,,,,,,
"Bamako, Mali",,,,,,,,,,,,,,,,,,,,
"Wielkopolskie, Poland",,,,,,,,,,,,,,,,,,,,
"Busan-gwangyeoksi, South Korea",,,,,,,,,,,,,,,,,,,,
"Chelyabinskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Kwara, Nigeria",,,,,,,,,,,,,,,,,,,,
"Baja California, Mexico",,,,,,,,,,,,,,,,,,,,
"Dagestan, Respublika, Russia",,,,,,,,,,,,,,,,,,,,
"Khatlon, Tajikistan",,,,,,,,,,,,,,,,,,,,
"Tete, Mozambique",,,,,,,,,,,,,,,,,,,,
"Gyeongsangnam-do, South Korea",,,,,,,,,,,,,,,,,,,,
"Thanh Hóa, Vietnam",,,,,,,,,,,,,,,,,,,,
"Cross River, Nigeria",,,,,,,,,,,,,,,,,,,,
"Guatemala, Guatemala",,,,,,,,,,,,,,,,,,,,
"Alagoas, Brazil",,,,,,,,,,,,,,,,,,,,
"Laguna, Philippines",,,,,,,,,,,,,,,,,,,,
"Banī Suwayf, Egypt",,,,,,,,,,,,,,,,,,,,
"Małopolskie, Poland",,,,,,,,,,,,,,,,,,,,
"Manipur, India",,,,,,,,,,,,,,,,,,,,
"Pangasinan, Philippines",,,,,,,,,,,,,,,,,,,,
"Hidalgo, Mexico",,,,,,,,,,,,,,,,,,,,
"Piauí, Brazil",,,,,,,,,,,,,,,,,,,,
"Kindia, Guinea",,,,,,,,,,,,,,,,,,,,
"Bretagne, France",,,,,,,,,,,,,,,,,,,,
"Sudūr Pashchim, Nepal",,,,,,,,,,,,,,,,,,,,
"Bursa, Turkey",,,,,,,,,,,,,,,,,,,,
"Santa Cruz, Bolivia",,,,,,,,,,,,,,,,,,,,
"P’yŏngyang [Phyeongyang], North Korea",,,,,,,,,,,,,,,,,,,,
"Puerto Rico, USA",0.9042469621363789,0.0020704510377347676,0.025167926276742608,0.013321213710154788,0.041760241671653826,0.20376971116015447,,0.3602589545316503,,0.3171308724531685,,0.11884046185502678,,0.1466934158682983,0.8533065841317018,0.43692454123353497,,,0.0,0.0
"Normandie, France",,,,,,,,,,,,,,,,,,,,
"Utah, USA",0.8263782892242104,0.0077037743268279025,0.021610463571178608,0.0196176026909677,0.1179968657212008,0.32818912794663085,,0.40189471889198713,,0.22193833312138073,,0.04797782004000133,,0.03950269481672185,0.9604973051832781,0.7244669622532179,8.381179209295958e-05,1.470221444081457e-05,2742.0,481.0
"Hamgyŏng-namdo [Hamkyeongnamto], North Korea",,,,,,,,,,,,,,,,,,,,
"Taraba, Nigeria",,,,,,,,,,,,,,,,,,,,
"Qashqadaryo, Uzbekistan",,,,,,,,,,,,,,,,,,,,
"Tabora, Tanzania",,,,,,,,,,,,,,,,,,,,
"Ouest, Haiti",,,,,,,,,,,,,,,,,,,,
"Ðồng Nai, Vietnam",,,,,,,,,,,,,,,,,,,,
"Āz̄arbāyjān-e Gharbī, Iran",,,,,,,,,,,,,,,,,,,,
"Al Başrah, Iraq",,,,,,,,,,,,,,,,,,,,
"nohiyahoi tobei jumhurí, Tajikistan",,,,,,,,,,,,,,,,,,,,
"Ségou, Mali",,,,,,,,,,,,,,,,,,,,
"Amānat al ‘Āşimah [city], Yemen",,,,,,,,,,,,,,,,,,,,
"Samarskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Negros Occidental, Philippines",,,,,,,,,,,,,,,,,,,,
"Iowa, USA",0.8697258787900087,0.004785067475603873,0.02966842282367959,0.00778091397174411,0.08083512046165724,0.41760534713191566,,0.37232260919929633,,0.17208109762094578,,0.037990946047842096,,0.056231988105583164,0.9437680118944168,0.6499808369510641,0.00010588116923152147,9.560022680762006e-06,3378.0,305.0
"Āz̄arbāyjān-e Sharqī, Iran",,,,,,,,,,,,,,,,,,,,
"Kagera, Tanzania",,,,,,,,,,,,,,,,,,,,
"Xizang Zizhiqu, China",,,,,,,,,,,,,,,,,,,,
"Lomami, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,
"Pichincha, Ecuador",,,,,,,,,,,,,,,,,,,,
"Wales, United Kingdom",,,,,,,,,,,,,,,,,,,,
"Distrito Federal, Brazil",,,,,,,,,,,,,,,,,,,,
"Sulawesi Tengah, Indonesia",,,,,,,,,,,,,,,,,,,,
"Dnipropetrovska oblast, Ukraine",,,,,,,,,,,,,,,,,,,,
"Sonora, Mexico",,,,,,,,,,,,,,,,,,,,
"Māzandarān, Iran",,,,,,,,,,,,,,,,,,,,
"Herāt, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Abū Z̧aby, United Arab Emirates",,,,,,,,,,,,,,,,,,,,
"Eastern, Ghana",,,,,,,,,,,,,,,,,,,,
"La Paz, Bolivia",,,,,,,,,,,,,,,,,,,,
"Sud, Rwanda",,,,,,,,,,,,,,,,,,,,
"Nevada, USA",0.8596035773719355,0.005298809793770091,0.015882922890019475,0.026535279310685746,0.07411082858058823,0.2323987294977132,,0.4317304643383348,,0.28200728304607714,,0.053863523117874956,,0.07089877683125034,0.9291012231687495,0.5845053032001377,0.00010548815408292305,2.873143005861598e-05,3275.0,892.0
"Batangas, Philippines",,,,,,,,,,,,,,,,,,,,
"Dubayy, United Arab Emirates",,,,,,,,,,,,,,,,,,,,
"Şalāḩ ad Dīn, Iraq",,,,,,,,,,,,,,,,,,,,
"Cundinamarca, Colombia",,,,,,,,,,,,,,,,,,,,
"Andijon, Uzbekistan",,,,,,,,,,,,,,,,,,,,
"Nizhegorodskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Rizal, Philippines",,,,,,,,,,,,,,,,,,,,
"Arkansas, USA",0.9150626642341497,0.0025192359128236317,0.015231189186170774,0.0028927990812693044,0.05629028915421995,0.35391068561839045,,0.36974077648427844,,0.22514777041088582,,0.0512007674864452,,0.05936948713587832,0.9406305128641217,0.6146375673894227,0.00018665067467859957,2.1517459027171766e-05,5621.0,648.0
"Lilongwe, Malawi",,,,,,,,,,,,,,,,,,,,
"Shamāl Kurdufān, Sudan",,,,,,,,,,,,,,,,,,,,
"Coahuila de Zaragoza, Mexico",,,,,,,,,,,,,,,,,,,,
"Gombe, Nigeria",,,,,,,,,,,,,,,,,,,,
"Lualaba, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,
"Souss-Massa, Morocco",,,,,,,,,,,,,,,,,,,,
"Nghệ An, Vietnam",,,,,,,,,,,,,,,,,,,,
"Wakiso, Uganda",,,,,,,,,,,,,,,,,,,,
"Mississippi, USA",0.9319733233794976,0.0016534645114243847,0.012653492799263961,0.002616220694923704,0.037890443785172895,0.2893971909603518,,0.3738479916590245,,0.26246665466575175,,0.07428816271487207,,0.06239779002585432,0.9376022099741457,0.6151463019424757,0.00022687767618902237,2.715237446501548e-05,6718.0,804.0
"Sinaloa, Mexico",,,,,,,,,,,,,,,,,,,,
"Morogoro, Tanzania",,,,,,,,,,,,,,,,,,,,
"Koulikoro, Mali",,,,,,,,,,,,,,,,,,,,
"Kansas, USA",0.880775202618606,0.004216798091825964,0.022103154065067552,0.004057922349307383,0.08094615014243338,0.40042454767253477,,0.38274814600091767,,0.18220598714882977,,0.03462131917771774,,0.05115035209846684,0.9488496479015331,0.6515997536275866,0.00013775239288194209,1.2764306234427544e-05,4047.0,375.0
"Schleswig-Holstein, Germany",,,,,,,,,,,,,,,,,,,,
"Stavropol'skiy kray, Russia",,,,,,,,,,,,,,,,,,,,
"Kyiv, Ukraine",,,,,,,,,,,,,,,,,,,,
"Kigoma, Tanzania",,,,,,,,,,,,,,,,,,,,
"Dolnośląskie, Poland",,,,,,,,,,,,,,,,,,,,
"Montagnes, Ivory Coast",,,,,,,,,,,,,,,,,,,,
"San Luis Potosí, Mexico",,,,,,,,,,,,,,,,,,,,
"Noord-Holland, Netherlands",,,,,,,,,,,,,,,,,,,,
"Kayes, Mali",,,,,,,,,,,,,,,,,,,,
"Rīf Dimashq, Syria",,,,,,,,,,,,,,,,,,,,
"Mato Grosso do Sul, Brazil",,,,,,,,,,,,,,,,,,,,
"Pampanga, Philippines",,,,,,,,,,,,,,,,,,,,
"Tshopo, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,
"Incheon-gwangyeoksi, South Korea",,,,,,,,,,,,,,,,,,,,
"Ibaraki, Japan",,,,,,,,,,,,,,,,,,,,
"Bourgogne-Franche-Comté, France",,,,,,,,,,,,,,,,,,,,
"P’yŏngan-bukto [Phyeonganpukto], North Korea",,,,,,,,,,,,,,,,,,,,
"Namangan, Uzbekistan",,,,,,,,,,,,,,,,,,,,
"Iloilo, Philippines",,,,,,,,,,,,,,,,,,,,
"Mopti, Mali",,,,,,,,,,,,,,,,,,,,
"Abuja Federal Capital Territory, Nigeria",,,,,,,,,,,,,,,,,,,,
"Novosibirskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Leinster, Ireland",,,,,,,,,,,,,,,,,,,,
"Free State, South Africa",,,,,,,,,,,,,,,,,,,,
"North, Cameroon",,,,,,,,,,,,,,,,,,,,
"Ouest, Rwanda",,,,,,,,,,,,,,,,,,,,
"Tabasco, Mexico",,,,,,,,,,,,,,,,,,,,
"Hirosima, Japan",,,,,,,,,,,,,,,,,,,,
"Central, Ghana",,,,,,,,,,,,,,,,,,,,
"Kankan, Guinea",,,,,,,,,,,,,,,,,,,,
"Almaty oblysy, Kazakhstan",,,,,,,,,,,,,,,,,,,,
"Geita, Tanzania",,,,,,,,,,,,,,,,,,,,
"Tanga, Tanzania",,,,,,,,,,,,,,,,,,,,
"Sarawak, Malaysia",,,,,,,,,,,,,,,,,,,,
"Sassandra-Marahoué, Ivory Coast",,,,,,,,,,,,,,,,,,,,
"Béni Mellal-Khénifra, Morocco",,,,,,,,,,,,,,,,,,,,
"Bas-Sassandra, Ivory Coast",,,,,,,,,,,,,,,,,,,,
"Sulawesi Tenggara, Indonesia",,,,,,,,,,,,,,,,,,,,
"Western Australia, Australia",,,,,,,,,,,,,,,,,,,,
"Al Baḩr al Aḩmar, Sudan",,,,,,,,,,,,,,,,,,,,
"Sughd, Tajikistan",,,,,,,,,,,,,,,,,,,,
"Nasarawa, Nigeria",,,,,,,,,,,,,,,,,,,,
"Dosso, Niger",,,,,,,,,,,,,,,,,,,,
"Krasnoyarskiy kray, Russia",,,,,,,,,,,,,,,,,,,,
"Madhyama paḷāta, Sri Lanka",,,,,,,,,,,,,,,,,,,,
"Gyeongsangbuk-do, South Korea",,,,,,,,,,,,,,,,,,,,
"Copperbelt, Zambia",,,,,,,,,,,,,,,,,,,,
"Kharkivska oblast, Ukraine",,,,,,,,,,,,,,,,,,,,
"Davao del Sur, Philippines",,,,,,,,,,,,,,,,,,,,
"Atlántico, Colombia",,,,,,,,,,,,,,,,,,,,
"Kemerovskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Dakuṇu paḷāta, Sri Lanka",,,,,,,,,,,,,,,,,,,,
"Hwanghae-namdo [Hwanghainamto], North Korea",,,,,,,,,,,,,,,,,,,,
"Bayelsa, Nigeria",,,,,,,,,,,,,,,,,,,,
"Kalimantan Tengah, Indonesia",,,,,,,,,,,,,,,,,,,,
"Arbīl, Iraq",,,,,,,,,,,,,,,,,,,,
"Dodoma, Tanzania",,,,,,,,,,,,,,,,,,,,
"An Nīl al Abyaḑ, Sudan",,,,,,,,,,,,,,,,,,,,
"Sulawesi Utara, Indonesia",,,,,,,,,,,,,,,,,,,,
"Sīstān va Balūchestān, Iran",,,,,,,,,,,,,,,,,,,,
"Perak, Malaysia",,,,,,,,,,,,,,,,,,,,
"Vayamba paḷāta, Sri Lanka",,,,,,,,,,,,,,,,,,,,
"Antalya, Turkey",,,,,,,,,,,,,,,,,,,,
"Sizuoka, Japan",,,,,,,,,,,,,,,,,,,,
"Hauts-Bassins, Burkina Faso",,,,,,,,,,,,,,,,,,,,
"Maputo (City), Mozambique",,,,,,,,,,,,,,,,,,,,
"Noord-Brabant, Netherlands",,,,,,,,,,,,,,,,,,,,
"Centre-Val de Loire, France",,,,,,,,,,,,,,,,,,,,
"Surxondaryo, Uzbekistan",,,,,,,,,,,,,,,,,,,,
"Permskiy kray, Russia",,,,,,,,,,,,,,,,,,,,
"Volgogradskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Brandenburg, Germany",,,,,,,,,,,,,,,,,,,,
"HaMerkaz, Israel",,,,,,,,,,,,,,,,,,,,
"Samut Prakan, Thailand",,,,,,,,,,,,,,,,,,,,
"Bābil, Iraq",,,,,,,,,,,,,,,,,,,,
"Miyagi, Japan",,,,,,,,,,,,,,,,,,,,
"L'Oriental, Morocco",,,,,,,,,,,,,,,,,,,,
"Miranda, Venezuela",,,,,,,,,,,,,,,,,,,,
"Lvivska oblast, Ukraine",,,,,,,,,,,,,,,,,,,,
"Stockholms län, Sweden",,,,,,,,,,,,,,,,,,,,
"Galicia, Spain",,,,,,,,,,,,,,,,,,,,
"Kyôto, Japan",,,,,,,,,,,,,,,,,,,,
"Saratovskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Quezon, Philippines",,,,,,,,,,,,,,,,,,,,
"Kepulauan Riau, Indonesia",,,,,,,,,,,,,,,,,,,,
"Nueva Ecija, Philippines",,,,,,,,,,,,,,,,,,,,
"Łódzkie, Poland",,,,,,,,,,,,,,,,,,,,
"Benguela, Angola",,,,,,,,,,,,,,,,,,,,
"Al Madīnah al Munawwarah, Saudi Arabia",,,,,,,,,,,,,,,,,,,,
"Bolívar, Colombia",,,,,,,,,,,,,,,,,,,,
"Mandera, Kenya",,,,,,,,,,,,,,,,,,,,
"Sergipe, Brazil",,,,,,,,,,,,,,,,,,,,
"Sofala, Mozambique",,,,,,,,,,,,,,,,,,,,
"Ciudad Autónoma de Buenos Aires, Argentina",,,,,,,,,,,,,,,,,,,,
"Camarines Sur, Philippines",,,,,,,,,,,,,,,,,,,,
"Nakuru, Kenya",,,,,,,,,,,,,,,,,,,,
"Al Anbār, Iraq",,,,,,,,,,,,,,,,,,,,
"Irkutskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Manica, Mozambique",,,,,,,,,,,,,,,,,,,,
"Daegu-gwangyeoksi, South Korea",,,,,,,,,,,,,,,,,,,,
"Voronezhskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Lisboa, Portugal",,,,,,,,,,,,,,,,,,,,
"Dhī Qār, Iraq",,,,,,,,,,,,,,,,,,,,
"Hamgyŏng-bukto [Hamkyeongpukto], North Korea",,,,,,,,,,,,,,,,,,,,
"Ḩajjah, Yemen",,,,,,,,,,,,,,,,,,,,
"Wilayah Persekutuan Kuala Lumpur, Malaysia",,,,,,,,,,,,,,,,,,,,
"Đắk Lắk, Vietnam",,,,,,,,,,,,,,,,,,,,
"Pomorskie, Poland",,,,,,,,,,,,,,,,,,,,
"Odeska oblast, Ukraine",,,,,,,,,,,,,,,,,,,,
"Mara, Tanzania",,,,,,,,,,,,,,,,,,,,
"Nakhon Ratchasima, Thailand",,,,,,,,,,,,,,,,,,,,
"Sud-Ubangi, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,
"Arusha, Tanzania",,,,,,,,,,,,,,,,,,,,
"Sharq Dārfūr, Sudan",,,,,,,,,,,,,,,,,,,,
"Maniema, Democratic Republic of the Congo",,,,,,,,,,,,,,,,,,,,
"Konya, Turkey",,,,,,,,,,,,,,,,,,,,
"Alger, Algeria",,,,,,,,,,,,,,,,,,,,
"Western, Ghana",,,,,,,,,,,,,,,,,,,,
"Dahūk, Iraq",,,,,,,,,,,,,,,,,,,,
"Southern, Zambia",,,,,,,,,,,,,,,,,,,,
"Nangarhār, Afghanistan",,,,,,,,,,,,,,,,,,,,
"Niigata, Japan",,,,,,,,,,,,,,,,,,,,
"Castilla y León, Spain",,,,,,,,,,,,,,,,,,,,
"Santander, Colombia",,,,,,,,,,,,,,,,,,,,
"Altayskiy kray, Russia",,,,,,,,,,,,,,,,,,,,
"Nord, Rwanda",,,,,,,,,,,,,,,,,,,,
"Eastern, Zambia",,,,,,,,,,,,,,,,,,,,
"Islamabad, Pakistan",,,,,,,,,,,,,,,,,,,,
"Carabobo, Venezuela",,,,,,,,,,,,,,,,,,,,
"Hwanghae-bukto [Hwanghaipukto], North Korea",,,,,,,,,,,,,,,,,,,,
"Gaziantep, Turkey",,,,,,,,,,,,,,,,,,,,
"Sachsen-Anhalt, Germany",,,,,,,,,,,,,,,,,,,,
"Thiès, Senegal",,,,,,,,,,,,,,,,,,,,
"Alborz, Iran",,,,,,,,,,,,,,,,,,,,
"Northern, Ghana",,,,,,,,,,,,,,,,,,,,
"Hamadān, Iran",,,,,,,,,,,,,,,,,,,,
"Cần Thơ, Vietnam",,,,,,,,,,,,,,,,,,,,
"An Giang, Vietnam",,,,,,,,,,,,,,,,,,,,
"Cabo Delgado, Mozambique",,,,,,,,,,,,,,,,,,,,
"Kilimanjaro, Tanzania",,,,,,,,,,,,,,,,,,,,
"Querétaro, Mexico",,,,,,,,,,,,,,,,,,,,
"Yucatán, Mexico",,,,,,,,,,,,,,,,,,,,
"Chungcheongnam-do, South Korea",,,,,,,,,,,,,,,,,,,,
"Manicaland, Zimbabwe",,,,,,,,,,,,,,,,,,,,
"Gīlān, Iran",,,,,,,,,,,,,,,,,,,,
"Podkarpackie, Poland",,,,,,,,,,,,,,,,,,,,
"Leningradskaya oblast', Russia",,,,,,,,,,,,,,,,,,,,
"Türkistan oblysy, Kazakhstan",,,,,,,,,,,,,,,,,,,,
"Chiang Mai, Thailand",,,,,,,,,,,,,,,,,,,,
"Kedah, Malaysia",,,,,,,,,,,,,,,,,,,,
"Federacija Bosne i Hercegovine, Bosnia and Herzegovina",,,,,,,,,,,,,,,,,,,,
"Canarias, Spain",,,,,,,,,,,,,,,,,,,,
"Lubelskie, Poland",,,,,,,,,,,,,,,,,,,,
"As Sulaymānīyah, Iraq",,,,,,,,,,,,,,,,,,,,
"Gelderland, Netherlands",,,,,,,,,,,,,,,,,,,,
"Niassa, Mozambique",,,,,,,,,,,,,,,,,,,,
"New Mexico, USA",0.8752348546240003,0.006996892649318038,0.01897884589591911,0.008047328208139571,0.08218869294033018,0.3327193308846888,,0.38165901005613445,,0.22338391485505302,,0.06223774420412359,,0.057830029237859834,0.9421699707621403,0.6117395272794759,0.00018601931880754958,3.985790938653765e-05,3939.0,844.0
"Şanlıurfa, Turkey",,,,,,,,,,,,,,,,,,,,
"Mbeya, Tanzania",,,,,,,,,,,,,,,,,,,,
"Artibonite, Haiti",,,,,,,,,,,,,,,,,,,,
"Dhamār, Yemen",,,,,,,,,,,,,,,,,,,,
"Gandaki, Nepal",,,,,,,,,,,,,,,,,,,,
"Kujawsko-pomorskie, Poland",,,,,,,,,,,,,,,,,,,,
"Cochabamba, Bolivia",,,,,,,,,,,,,,,,,,,,
"Luhanska oblast, Ukraine",,,,,,,,,,,,,,,,,,,,
"Nagano, Japan",,,,,,,,,,,,,,,,,,,,
"Leyte, Philippines",,,,,,,,,,,,,,,,,,,,
"Francisco Morazán, Honduras",,,,,,,,,,,,,,,,,,,,
"Cuanza-Sul, Angola",,,,,,,,,,,,,,,,,,,,
"Thüringen, Germany",,,,,,,,,,,,,,,,,,,,
"La Habana, Cuba",,,,,,,,,,,,,,,,,,,,
"Huambo, Angola",,,,,,,,,,,,,,,,,,,,
"Tipaza, Algeria",,,,,,,,,,,,,,,,,,,,
"Āsīr, Saudi Arabia",,,,,,,,,,,,,,,,,,,,
"Sabaragamuva paḷāta, Sri Lanka",,,,,,,,,,,,,,,,,,,,
"País Vasco, Spain",,,,,,,,,,,,,,,,,,,,
"Gihu, Japan",,,,,,,,,,,,,,,,,,,,
"Kakamega, Kenya",,,,,,,,,,,,,,,,,,,,
"Castilla-La Mancha, Spain",,,,,,,,,,,,,,,,,,,,
"Mendoza, Argentina",,,,,,,,,,,,,,,,,,,,
"Harare, Zimbabwe",,,,,,,,,,,,,,,,,,,,
"Āfar, Ethiopia",,,,,,,,,,,,,,,,,,,,
"Mashonaland West, Zimbabwe",,,,,,,,,,,,,,,,,,,,
"Mont-Liban, Lebanon",,,,,,,,,,,,,,,,,,,,
"Horad Minsk, Belarus",,,,,,,,,,,,,,,,,,,,
"Kachin, Myanmar",,,,,,,,,,,,,,,,,,,,
"Distrito Federal, Venezuela",,,,,,,,,,,,,,,,,,,,
"Kassalā, Sudan",,,,,,,,,,,,,,,,,,,,
"Morelos, Mexico",,,,,,,,,,,,,,,,,,,,
"Cortés, Honduras",,,,,,,,,,,,,,,,,,,,
"Shinyanga, Tanzania",,,,,,,,,,,,,,,,,,,,
"Maluku, Indonesia",,,,,,,,,,,,,,,,,,,,
"Savanes, Ivory Coast",,,,,,,,,,,,,,,,,,,,
"Nāgāland, India",,,,,,,,,,,,,,,,,,,,
"Mon, Myanmar",,,,,,,,,,,,,,,,,,,,
"La Libertad, Peru",,,,,,,,,,,,,,,,,,,,
"West, Cameroon",,,,,,,,,,,,,,,,,,,,
"Midlands, Zimbabwe",,,,,,,,,,,,,,,,,,,,
"Est, Burkina Faso",,,,,,,,,,,,,,,,,,,,
"Nebraska, USA",0.8819667672840027,0.003842389060139365,0.025105008303679097,0.0058580685670976945,0.07626887324915353,0.41372345699324775,,0.38822441924149265,,0.16382141364985392,,0.03423071011540569,,0.05069482567744923,0.9493051743225507,0.6550242996650123,0.00011740990586815016,9.686444687341957e-06,2303.0,190.0
